V,didv_0,didv_1,didv_2,didv_3,didv_4,didv_5
-2.96985,-3.3336278413976824e-05,-2.817518240522644e-05,0.0047668993636407414,-3.474714323103895e-05,-4.716126138845835e-05,-6.294855080136592e-05
-2.9598500000000003,-3.3336278413976824e-05,-2.817518240522644e-05,0.0047668993636407414,-3.474714323103895e-05,-4.716126138845835e-05,-6.294855080136592e-05
-2.9498500000000005,-3.3336278413976824e-05,-2.817518240522644e-05,0.0047668993636407414,-3.474714323103895e-05,-4.716126138845835e-05,-6.294855080136592e-05
-2.9398500000000007,-3.3336278413976824e-05,-2.817518240522644e-05,0.0047668993636407414,-3.474714323103895e-05,-4.716126138845835e-05,-6.294855080136592e-05
-2.929850000000001,-3.3336278413976824e-05,-2.81751824057076e-05,0.0047668993636407414,-3.474714323103895e-05,-4.716126138845835e-05,-6.294855080136592e-05
-2.919850000000001,-3.3336278413976824e-05,-2.8175182406196088e-05,0.0047668993636407414,-3.474714323103895e-05,-4.716126138845835e-05,-6.294855080136592e-05
-2.9098500000000014,-3.3336278413976824e-05,-2.817518240668458e-05,0.0047668993636407414,-3.474714323103895e-05,-4.716126138845835e-05,-6.294855080136592e-05
-2.8998500000000016,-3.333627841214271e-05,-2.8175182404330068e-05,0.004766899363642169,-3.4747143229103814e-05,-4.716126138549403e-05,-6.294855080017768e-05
-2.889850000000002,-3.333627841025187e-05,-2.817518240188763e-05,0.004766899363643641,-3.474714322710883e-05,-4.7161261382438024e-05,-6.294855079895267e-05
-2.879850000000002,-3.333627840836103e-05,-2.8175182399445195e-05,0.004766899363645113,-3.4747143225113835e-05,-4.716126137938202e-05,-6.294855079772767e-05
-2.8698500000000022,-3.861590459067993e-05,-3.2637421071902185e-05,0.011301874261637986,-4.025021483126526e-05,-5.463041637438341e-05,-7.291801448150783e-05
-2.8598500000000024,-4.414430897016175e-05,-3.7309922299721945e-05,0.018144779913987958,-4.601259347654525e-05,-6.245152108133684e-05,-8.335724346981929e-05
-2.8498500000000027,-4.9672713349643564e-05,-4.1982423527541704e-05,0.02498768556633793,-5.1774972121825233e-05,-7.027262578829028e-05,-9.379647245813075e-05
-2.839850000000003,-4.480771749688738e-05,-3.787062244889947e-05,0.04146671414577896,-4.6704078915857144e-05,-6.339005364847344e-05,-8.460995094899785e-05
-2.829850000000003,-3.927931311866613e-05,-3.3198121223033655e-05,0.05856081440142015,-4.094170027257214e-05,-5.556894894396482e-05,-7.417072196129891e-05
-2.8198500000000033,-3.3750908740444867e-05,-2.852561999716785e-05,0.07565491465706133,-3.5179321629287144e-05,-4.774784423945619e-05,-6.373149297359995e-05
-2.8098500000000035,-2.3112121405723858e-05,-1.953392122325527e-05,0.0972235296994952,-2.4090277352822964e-05,-3.2697015105911444e-05,-4.364238054436861e-05
-2.7998500000000037,-1.2058978696149636e-05,-1.019201724274271e-05,0.11915494323815717,-1.256934126826121e-05,-1.7059992099739486e-05,-2.2770845133387857e-05
-2.789850000000004,-1.0058359865754147e-06,-8.501132622301567e-07,0.14108635677681913,-1.0484051836994568e-06,-1.4229690935675281e-06,-1.8993097224070928e-06
-2.779850000000004,0.0,0.0,0.16290606572768565,0.0,0.0,0.0
-2.7698500000000044,0.0,0.0,0.18471459193103906,0.0,0.0,0.0
-2.7598500000000046,0.0,0.0,0.2065231181343925,0.0,0.0,0.0
-2.749850000000005,0.0,0.0,0.22588766428985105,0.0,0.0,0.0
-2.739850000000005,0.0,0.0,0.2449624320503676,0.0,0.0,0.0
-2.729850000000005,0.0,0.0,0.26403719981088414,0.0,0.0,0.0
-2.7198500000000054,0.0,0.0,0.27813834544224136,0.0,0.0,0.0
-2.7098500000000056,0.0,0.0,0.2915548400182728,0.0,0.0,0.0
