V,I_0,I_1,I_2,I_3,I_4,I_5
-2.96985,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.9598500000000003,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.9498500000000005,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.9398500000000007,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.929850000000001,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.919850000000001,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.9098500000000014,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.8998500000000016,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.889850000000002,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.879850000000002,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.8698500000000022,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.8598500000000024,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.8498500000000027,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.839850000000003,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.829850000000003,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.8198500000000033,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.8098500000000035,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.7998500000000037,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.789850000000004,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.779850000000004,-3.297029623135e-09,-3.297029623135e-09,-3.2966770053217613e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.7698500000000044,-3.297029623135e-09,-3.297029623135e-09,-3.2962890869353602e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.7598500000000046,-3.297029623135e-09,-3.297029623135e-09,-3.2959011685489587e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.749850000000005,-3.297029623135e-09,-3.297029623135e-09,-3.2910323752826595e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.739850000000005,-3.297029623135e-09,-3.297029623135e-09,-3.2856322926010674e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.729850000000005,-3.297029623135e-09,-3.297029623135e-09,-3.2802322099194757e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.7198500000000054,-3.297029623135e-09,-3.297029623135e-09,-3.2840974932454304e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.7098500000000056,-3.297029623135e-09,-3.297029623135e-09,-3.289238213757868e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.699850000000006,-3.297029623135e-09,-3.297029623135e-09,-3.2943789342703058e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.689850000000006,-3.297029623135e-09,-3.297029623135e-09,-3.2736103197881342e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.6798500000000063,-3.297029623135e-09,-3.297029623135e-09,-3.2487633840567915e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.6698500000000065,-3.297029623135e-09,-3.297029623135e-09,-3.223916448325449e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.6598500000000067,-3.297029623135e-09,-3.297029623135e-09,-3.191674319181695e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.649850000000007,-3.297029623135e-09,-3.297029623135e-09,-3.1581169082884954e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.639850000000007,-3.297029623135e-09,-3.297029623135e-09,-3.1245594973952956e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.6298500000000073,-3.297029623135e-09,-3.297029623135e-09,-3.0868050201440996e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.6198500000000076,-3.297029623135e-09,-3.297029623135e-09,-3.0482151555842328e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.6098500000000078,-3.297029623135e-09,-3.297029623135e-09,-3.0096252910243664e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.599850000000008,-3.297029623135e-09,-3.297029623135e-09,-2.9752714178096984e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.589850000000008,-3.297029623135e-09,-3.297029623135e-09,-2.941853703854475e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.5798500000000084,-3.297029623135e-09,-3.297029623135e-09,-2.908435989899252e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.5698500000000086,-3.297029623135e-09,-3.297029623135e-09,-2.8781170498696255e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.559850000000009,-3.297029623135e-09,-3.297029623135e-09,-2.848553532339278e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.549850000000009,-3.297029623135e-09,-3.297029623135e-09,-2.8189900148089297e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.5398500000000093,-3.297029623135e-09,-3.297029623135e-09,-2.801126056287683e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.5298500000000095,-3.297029623135e-09,-3.297029623135e-09,-2.7863908771719288e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.5198500000000097,-3.297029623135e-09,-3.297029623135e-09,-2.7716556980561746e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.50985000000001,-3.297029623135e-09,-3.297029623135e-09,-2.7767562773309986e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
-2.49985000000001,-3.297029623135e-09,-3.297029623135e-09,-2.787648693035144e-09,-3.297029623135e-09,-3.297029623135e-09,-3.297029623135e-09
