V_0,didv_0,V_1,didv_1,V_2,didv_2,V_3,didv_3,V_4,didv_4,V_5,didv_5
-2.96985,-3.3336278413976824e-05,-2.96985,-2.817518240522644e-05,-2.96985,0.0047668993636407414,-2.96985,-3.474714323103895e-05,-2.96985,-4.716126138845835e-05,-2.96985,-6.294855080136592e-05
-2.9598500000000003,-3.3336278413976824e-05,-2.9598500000000003,-2.817518240522644e-05,-2.9598500000000003,0.0047668993636407414,-2.9598500000000003,-3.474714323103895e-05,-2.9598500000000003,-4.716126138845835e-05,-2.9598500000000003,-6.294855080136592e-05
-2.9498500000000005,-3.3336278413976824e-05,-2.9498500000000005,-2.817518240522644e-05,-2.9498500000000005,0.0047668993636407414,-2.9498500000000005,-3.474714323103895e-05,-2.9498500000000005,-4.716126138845835e-05,-2.9498500000000005,-6.294855080136592e-05
-2.9398500000000007,-3.3336278413976824e-05,-2.9398500000000007,-2.817518240522644e-05,-2.9398500000000007,0.0047668993636407414,-2.9398500000000007,-3.474714323103895e-05,-2.9398500000000007,-4.716126138845835e-05,-2.9398500000000007,-6.294855080136592e-05
-2.929850000000001,-3.3336278413976824e-05,-2.929850000000001,-2.81751824057076e-05,-2.929850000000001,0.0047668993636407414,-2.929850000000001,-3.474714323103895e-05,-2.929850000000001,-4.716126138845835e-05,-2.929850000000001,-6.294855080136592e-05
-2.919850000000001,-3.3336278413976824e-05,-2.919850000000001,-2.8175182406196088e-05,-2.919850000000001,0.0047668993636407414,-2.919850000000001,-3.474714323103895e-05,-2.919850000000001,-4.716126138845835e-05,-2.919850000000001,-6.294855080136592e-05
-2.9098500000000014,-3.3336278413976824e-05,-2.9098500000000014,-2.817518240668458e-05,-2.9098500000000014,0.0047668993636407414,-2.9098500000000014,-3.474714323103895e-05,-2.9098500000000014,-4.716126138845835e-05,-2.9098500000000014,-6.294855080136592e-05
-2.8998500000000016,-3.333627841214271e-05,-2.8998500000000016,-2.8175182404330068e-05,-2.8998500000000016,0.004766899363642169,-2.8998500000000016,-3.4747143229103814e-05,-2.8998500000000016,-4.716126138549403e-05,-2.8998500000000016,-6.294855080017768e-05
-2.889850000000002,-3.333627841025187e-05,-2.889850000000002,-2.817518240188763e-05,-2.889850000000002,0.004766899363643641,-2.889850000000002,-3.474714322710883e-05,-2.889850000000002,-4.7161261382438024e-05,-2.889850000000002,-6.294855079895267e-05
-2.879850000000002,-3.333627840836103e-05,-2.879850000000002,-2.8175182399445195e-05,-2.879850000000002,0.004766899363645113,-2.879850000000002,-3.4747143225113835e-05,-2.879850000000002,-4.716126137938202e-05,-2.879850000000002,-6.294855079772767e-05
-2.8698500000000022,-3.861590459067993e-05,-2.8698500000000022,-3.2637421071902185e-05,-2.8698500000000022,0.011301874261637986,-2.8698500000000022,-4.025021483126526e-05,-2.8698500000000022,-5.463041637438341e-05,-2.8698500000000022,-7.291801448150783e-05
-2.8598500000000024,-4.414430897016175e-05,-2.8598500000000024,-3.7309922299721945e-05,-2.8598500000000024,0.018144779913987958,-2.8598500000000024,-4.601259347654525e-05,-2.8598500000000024,-6.245152108133684e-05,-2.8598500000000024,-8.335724346981929e-05
