,a,a_neg,a_pos
0,0.831,-0.046,0.104
1,0.755,-0.04,0.058
2,0.838,-0.041,0.069
3,0.947,-0.06,0.112
4,0.968,-0.015,0.06
5,0.974,-0.017,0.072
