# Single Point Spectroscopy       
# 
# Sample                          Ges_au_teste
# Data set                        04/05/2023
# Creation Comment                
# Ramp start value                -1.500e+000 V
# Ramp end value                  1.500e+000 V
# Raster time                     1.000e-001 seconds
# Varied-Z spectroscopy           No
# Automatic ramp reversal         No
# Channel name and data unit      I(V) [A]
# Sample position                 8.203e+002, -1.143e+003 [nm]
# Averaged curves                 14
# 
# 
# Ramp value [V]                            I(V)
# --------------             -------------------
    -1.5000e+000             -1.60315650731e-009
    -1.4799e+000             -1.21992665416e-009
    -1.4597e+000             -1.14787483137e-009
    -1.4396e+000             -1.21231682923e-009
    -1.4195e+000             -9.76031106080e-010
    -1.3993e+000             -9.82976011413e-010
    -1.3792e+000             -1.13449099846e-009
    -1.3591e+000             -1.05051124998e-009
    -1.3389e+000             -9.29191334956e-010
    -1.3188e+000             -8.67832963761e-010
    -1.2987e+000             -7.98377707826e-010
    -1.2785e+000             -9.96293011211e-010
    -1.2584e+000             -7.21190900774e-010
    -1.2383e+000             -7.21912574237e-010
    -1.2181e+000             -6.28712803734e-010
    -1.1980e+000             -8.05500783079e-010
    -1.1779e+000             -8.88070678720e-010
    -1.1577e+000             -9.77010808045e-010
    -1.1376e+000             -8.95753539363e-010
    -1.1174e+000             -8.73998666439e-010
    -1.0973e+000             -8.58910666935e-010
    -1.0772e+000             -6.27858859650e-010
    -1.0570e+000             -7.76282466777e-010
    -1.0369e+000             -8.90847431345e-010
    -1.0168e+000             -7.84293135263e-010
    -9.9664e-001             -7.20611111973e-010
    -9.7651e-001             -8.72473755214e-010
    -9.5638e-001             -8.01143605886e-010
    -9.3624e-001             -7.74690877514e-010
    -9.1611e-001             -8.85252523686e-010
    -8.9597e-001             -9.29393850114e-010
    -8.7584e-001             -8.04256694940e-010
    -8.5570e-001             -7.94941773016e-010
    -8.3557e-001             -7.59611716727e-010
    -8.1544e-001             -8.02171067934e-010
    -7.9530e-001             -7.82094000527e-010
    -7.7517e-001             -9.56960721984e-010
    -7.5503e-001             -9.35608398331e-010
    -7.3490e-001             -1.03373009350e-009
    -7.1477e-001             -8.08260168401e-010
    -6.9463e-001             -7.77803191242e-010
    -6.7450e-001             -9.47104777559e-010
    -6.5436e-001             -6.13310487060e-010
    -6.3423e-001             -7.38925398130e-010
    -6.1409e-001             -6.13489587371e-010
    -5.9396e-001             -8.51675479539e-010
    -5.7383e-001             -5.98715439842e-010
    -5.5369e-001             -5.99141403960e-010
    -5.3356e-001             -4.95060397897e-010
    -5.1342e-001             -3.43195583743e-010
    -4.9329e-001             -4.30093969514e-010
    -4.7315e-001             -4.24307401262e-010
    -4.5302e-001             -3.54867961978e-010
    -4.3289e-001             -3.19053947185e-010
    -4.1275e-001             -3.14897424367e-010
    -3.9262e-001             -3.38410426584e-010
    -3.7248e-001             -3.81953666517e-010
    -3.5235e-001             -2.53182558266e-010
    -3.3221e-001             -2.44045341066e-010
    -3.1208e-001             -2.56952503528e-010
    -2.9195e-001             -2.07299384391e-010
    -2.7181e-001             -2.02238056103e-010
    -2.5168e-001             -1.70378824296e-010
    -2.3154e-001             -1.50281133217e-010
    -2.1141e-001             -1.62221774256e-010
    -1.9128e-001             -1.41627874521e-010
    -1.7114e-001             -1.00876893734e-010
    -1.5101e-001             -1.14729023554e-010
    -1.3087e-001             -8.69314146599e-011
    -1.1074e-001             -7.37200142660e-011
    -9.0604e-002             -6.30000465196e-011
    -7.0470e-002             -4.48612941742e-011
    -5.0336e-002             -2.94747941509e-011
    -3.0201e-002             -1.67946471491e-011
    -1.0067e-002             -3.46245096063e-012
     1.0067e-002              9.52643086418e-012
     3.0201e-002              2.54327094543e-011
     5.0336e-002              4.63706988789e-011
     7.0470e-002              8.51597946937e-011
     9.0604e-002              9.94164896339e-011
     1.1074e-001              1.49318488424e-010
     1.3087e-001              9.07295817891e-011
     1.5101e-001              9.54607762564e-011
     1.7114e-001              8.58895315480e-011
     1.9128e-001              1.02536246492e-010
     2.1141e-001              1.08554016964e-010
     2.3154e-001              1.52390485199e-010
     2.5168e-001              1.68139372606e-010
     2.7181e-001              1.82948254741e-010
     2.9195e-001              2.72243948580e-010
     3.1208e-001              2.72693792740e-010
     3.3221e-001              2.79398502070e-010
     3.5235e-001              2.10601342865e-010
     3.7248e-001              1.93060987145e-010
     3.9262e-001              2.66340616229e-010
     4.1275e-001              2.74389275690e-010
     4.3289e-001              3.54927817147e-010
     4.5302e-001              4.04633193258e-010
     4.7315e-001              4.50682131836e-010
     4.9329e-001              5.68781187489e-010
     5.1342e-001              4.99717936392e-010
     5.3356e-001              6.25403557196e-010
     5.5369e-001              7.13945944270e-010
     5.7383e-001              5.75788273969e-010
     5.9396e-001              7.30183132007e-010
     6.1409e-001              9.00616384190e-010
     6.3423e-001              9.26301849928e-010
     6.5436e-001              1.04076012963e-009
     6.7450e-001              1.09719487044e-009
     6.9463e-001              1.18803408333e-009
     7.1477e-001              8.65601885593e-010
     7.3490e-001              1.01417078882e-009
     7.5503e-001              1.08161950100e-009
     7.7517e-001              1.28565104126e-009
     7.9530e-001              1.32130968072e-009
