# Single Point Spectroscopy       
# 
# Sample                          Ges_au_teste
# Data set                        04/05/2023
# Creation Comment                
# Ramp start value                -1.500e+000 V
# Ramp end value                  1.500e+000 V
# Raster time                     1.000e-001 seconds
# Varied-Z spectroscopy           No
# Automatic ramp reversal         No
# Channel name and data unit      I(V) [A]
# Sample position                 8.203e+002, -1.143e+003 [nm]
# Averaged curves                 13
# 
# 
# Ramp value [V]                            I(V)
# --------------             -------------------
    -1.5000e+000             -1.62660239731e-008
    -1.4799e+000             -1.21629563181e-008
    -1.4597e+000             -1.25391189195e-008
    -1.4396e+000             -1.84464696305e-008
    -1.4195e+000             -7.51150862938e-009
    -1.3993e+000             -5.11035075749e-009
    -1.3792e+000             -2.54909550466e-009
    -1.3591e+000             -2.49070523655e-009
    -1.3389e+000             -2.24766332243e-009
    -1.3188e+000             -6.95678425778e-009
    -1.2987e+000             -5.85728403294e-009
    -1.2785e+000             -4.37641721844e-009
    -1.2584e+000             -1.79075609794e-009
    -1.2383e+000             -2.33326365737e-009
    -1.2181e+000             -2.08621408302e-009
    -1.1980e+000             -1.95810262215e-009
    -1.1779e+000             -1.82213354215e-009
    -1.1577e+000             -2.09674843772e-009
    -1.1376e+000             -2.41441889314e-009
    -1.1174e+000             -2.00547535239e-009
    -1.0973e+000             -1.84053714587e-009
    -1.0772e+000             -1.92942579355e-009
    -1.0570e+000             -1.57757834669e-009
    -1.0369e+000             -1.49136596939e-009
    -1.0168e+000             -2.43450216316e-009
    -9.9664e-001             -2.71426692924e-009
    -9.7651e-001             -2.03037804897e-009
    -9.5638e-001             -1.72450495433e-009
    -9.3624e-001             -1.92273162865e-009
    -9.1611e-001             -1.75615670890e-009
    -8.9597e-001             -2.33016669510e-009
    -8.7584e-001             -2.26101288592e-009
    -8.5570e-001             -2.23810169176e-009
    -8.3557e-001             -2.16624059917e-009
    -8.1544e-001             -2.17622354200e-009
    -7.9530e-001             -2.01773899425e-009
    -7.7517e-001             -1.88732543535e-009
    -7.5503e-001             -1.86572113074e-009
    -7.3490e-001             -2.10968521763e-009
    -7.1477e-001             -2.07730946363e-009
    -6.9463e-001             -2.30906464668e-009
    -6.7450e-001             -1.89320364713e-009
    -6.5436e-001             -1.60477709377e-009
    -6.3423e-001             -1.74039634666e-009
    -6.1409e-001             -1.73225821458e-009
    -5.9396e-001             -1.51431143296e-009
    -5.7383e-001             -1.63561506614e-009
    -5.5369e-001             -1.61453395153e-009
    -5.3356e-001             -1.32654840360e-009
    -5.1342e-001             -1.38880398207e-009
    -4.9329e-001             -1.57484330661e-009
    -4.7315e-001             -1.33739397417e-009
    -4.5302e-001             -8.35171734714e-010
    -4.3289e-001             -1.12741645862e-009
    -4.1275e-001             -1.34440323156e-009
    -3.9262e-001             -1.05455535052e-009
    -3.7248e-001             -1.03764673045e-009
    -3.5235e-001             -7.91516072508e-010
    -3.3221e-001             -1.01492750702e-009
    -3.1208e-001             -9.16637255966e-010
    -2.9195e-001             -8.99998294283e-010
    -2.7181e-001             -7.81317123851e-010
    -2.5168e-001             -8.57338615888e-010
    -2.3154e-001             -7.63693343051e-010
    -2.1141e-001             -6.67363736451e-010
    -1.9128e-001             -5.62051977857e-010
    -1.7114e-001             -5.29145900851e-010
    -1.5101e-001             -4.55117927088e-010
    -1.3087e-001             -3.46254865171e-010
    -1.1074e-001             -2.40223914156e-010
    -9.0604e-002             -2.67491510180e-010
    -7.0470e-002             -2.00244072633e-010
    -5.0336e-002             -1.22157887392e-010
    -3.0201e-002             -7.00269813457e-011
    -1.0067e-002             -2.03302888865e-011
     1.0067e-002              2.15534432229e-011
     3.0201e-002              8.13712416071e-011
     5.0336e-002              1.14914016344e-010
     7.0470e-002              1.92669137372e-010
     9.0604e-002              2.27754655833e-010
     1.1074e-001              2.28041681527e-010
     1.3087e-001              3.12321791313e-010
     1.5101e-001              3.64443238382e-010
     1.7114e-001              4.56050489231e-010
     1.9128e-001              4.59051931337e-010
     2.1141e-001              6.09183581696e-010
     2.3154e-001              6.16632759075e-010
     2.5168e-001              6.76680209028e-010
     2.7181e-001              8.13269549846e-010
     2.9195e-001              7.89260494038e-010
     3.1208e-001              8.71741537316e-010
     3.3221e-001              9.65590720898e-010
     3.5235e-001              1.08817891423e-009
     3.7248e-001              1.21969250570e-009
     3.9262e-001              1.29833397944e-009
