# Single Point Spectroscopy       
# 
# Sample                          Polesi_dopada
# Data set                        18/01/2024
# Creation Comment                
# Ramp start value                -4.000e+000 V
# Ramp end value                  4.000e+000 V
# Raster time                     1.000e-001 seconds
# Varied-Z spectroscopy           No
# Automatic ramp reversal         No
# Channel name and data unit      I(V) [A]
# Sample position                 2.125e+002, 3.077e+002 [nm]
# Averaged curves                 1-10
# 
# 
# Ramp value [V]                             I(V)
# --------------             --------------------
    -4.0000e+000             -4.430246744053e-010
    -3.9598e+000             -4.851145012220e-010
    -3.9196e+000             -4.720608567982e-010
    -3.8794e+000             -4.540414767182e-010
    -3.8392e+000             -4.593307106331e-010
    -3.7990e+000             -4.695632370491e-010
    -3.7588e+000             -4.671125320474e-010
    -3.7186e+000             -6.137628293044e-010
    -3.6784e+000             -6.277689898454e-010
    -3.6382e+000             -6.190287467860e-010
    -3.5980e+000             -6.119439996598e-010
    -3.5578e+000             -6.070861675850e-010
    -3.5176e+000             -6.058070242695e-010
    -3.4774e+000             -5.969828697472e-010
    -3.4372e+000             -5.930650638247e-010
    -3.3970e+000             -5.858552526189e-010
    -3.3568e+000             -5.808621892536e-010
    -3.3166e+000             -5.779979750941e-010
    -3.2764e+000             -5.646042022056e-010
    -3.2362e+000             -5.578627654513e-010
    -3.1960e+000             -5.504982902142e-010
    -3.1558e+000             -5.390652674053e-010
    -3.1156e+000             -5.305316005232e-010
    -3.0754e+000             -5.230938615827e-010
    -3.0352e+000             -5.161783460193e-010
    -2.9950e+000             -5.114841276945e-010
    -2.9548e+000             -5.027386977808e-010
    -2.9146e+000             -4.938579593511e-010
    -2.8744e+000             -4.856872818436e-010
    -2.8342e+000             -4.856417058769e-010
    -2.7940e+000             -4.790784511719e-010
    -2.7538e+000             -4.701891901436e-010
    -2.7136e+000             -4.615862527173e-010
    -2.6734e+000             -4.574041581119e-010
    -2.6332e+000             -4.496839679006e-010
    -2.5930e+000             -4.415916698665e-010
    -2.5528e+000             -4.351152581245e-010
    -2.5126e+000             -4.308272598182e-010
    -2.4724e+000             -4.270626067321e-010
    -2.4322e+000             -4.205986465725e-010
    -2.3920e+000             -4.013142856967e-010
    -2.3518e+000             -4.015551807208e-010
    -2.3116e+000             -3.900929975163e-010
    -2.2714e+000             -3.817750132842e-010
    -2.2312e+000             -3.725237599044e-010
    -2.1910e+000             -3.588781037030e-010
    -2.1508e+000             -3.406120805928e-010
    -2.1106e+000             -3.329603498271e-010
    -2.0704e+000             -3.180851421587e-010
    -2.0302e+000             -3.001288399940e-010
    -1.9899e+000             -2.780441628774e-010
    -1.9497e+000             -2.610758150634e-010
    -1.9095e+000             -2.511344475203e-010
    -1.8693e+000             -2.416094599908e-010
    -1.8291e+000             -2.257108540577e-010
    -1.7889e+000             -2.146718407268e-010
    -1.7487e+000             -1.928475798083e-010
    -1.7085e+000             -1.792381357846e-010
    -1.6683e+000             -1.727749893335e-010
    -1.6281e+000             -1.610985810920e-010
    -1.5879e+000             -1.498640458907e-010
    -1.5477e+000             -1.403379937848e-010
    -1.5075e+000             -1.278033951296e-010
    -1.4673e+000             -1.157857574605e-010
    -1.4271e+000             -1.011613926329e-010
    -1.3869e+000             -9.693043191494e-011
    -1.3467e+000             -8.447852139647e-011
    -1.3065e+000             -7.364827695690e-011
    -1.2663e+000             -6.462903904557e-011
    -1.2261e+000             -5.567461363048e-011
    -1.1859e+000             -4.897855095097e-011
    -1.1457e+000             -3.934047498161e-011
    -1.1055e+000             -3.410099964857e-011
    -1.0653e+000             -3.299904918929e-011
    -1.0251e+000             -2.491371250819e-011
    -9.8492e-001             -1.910935904488e-011
    -9.4472e-001             -1.476101028205e-011
    -9.0452e-001             -1.276977177319e-011
    -8.6432e-001             -1.191602313327e-011
    -8.2412e-001             -1.034388181022e-011
    -7.8392e-001             -8.398630728182e-012
    -7.4372e-001             -5.639057639579e-012
    -7.0352e-001             -4.586446472029e-012
    -6.6332e-001             -3.714524650685e-012
    -6.2312e-001             -2.308427149062e-012
    -5.8291e-001             -2.641719848147e-012
    -5.4271e-001             -2.088642947627e-012
    -5.0251e-001             -1.583258423533e-012
    -4.6231e-001             -1.149954347882e-012
    -4.2211e-001             -8.456745021678e-013
    -3.8191e-001             -6.602573560400e-013
    -3.4171e-001             -4.725315807178e-013
    -3.0151e-001             -3.601165230574e-013
    -2.6131e-001             -2.400294224712e-013
    -2.2111e-001             -9.159594183612e-014
    -1.8090e-001             -2.997226175191e-014
    -1.4070e-001              2.348961500687e-014
    -1.0050e-001              6.844516733148e-014
    -6.0302e-002              8.535894294046e-014
    -2.0101e-002              1.176516556895e-013
     2.0100e-002              1.426236019375e-013
     6.0301e-002              1.601514971699e-013
     1.0050e-001              1.975457016309e-013
     1.4070e-001              2.604693194280e-013
     1.8090e-001              3.059422675354e-013
     2.2111e-001              3.211289852333e-013
     2.6131e-001              3.736225488759e-013
     3.0151e-001              4.471051859485e-013
     3.4171e-001              6.133587292268e-013
     3.8191e-001              7.953220665924e-013
     4.2211e-001              8.747673446189e-013
     4.6231e-001              1.165405751138e-012
     5.0251e-001              1.458568496370e-012
     5.4271e-001              1.845848144491e-012
     5.8291e-001              2.280254257806e-012
     6.2312e-001              3.255258514423e-012
     6.6332e-001              4.841219678419e-012
     7.0352e-001              5.851801266591e-012
     7.4372e-001              6.474286888132e-012
     7.8392e-001              7.359622617350e-012
     8.2412e-001              8.781372492876e-012
     8.6432e-001              1.034867393917e-011
     9.0452e-001              1.230033550890e-011
     9.4472e-001              1.320674582771e-011
     9.8492e-001              1.534649212568e-011
     1.0251e+000              1.859658435877e-011
     1.0653e+000              2.059822636112e-011
     1.1055e+000              2.268573871452e-011
     1.1457e+000              2.442716195824e-011
     1.1859e+000              2.714890036508e-011
     1.2261e+000              2.926232089009e-011
     1.2663e+000              3.317077300312e-011
     1.3065e+000              3.482696565490e-011
     1.3467e+000              3.921902898783e-011
     1.3869e+000              4.289199954125e-011
     1.4271e+000              4.895766581729e-011
     1.4673e+000              5.273723970732e-011
     1.5075e+000              5.995419143552e-011
     1.5477e+000              6.452316282660e-011
     1.5879e+000              6.915014856321e-011
     1.6281e+000              7.464642600035e-011
     1.6683e+000              8.070075670285e-011
     1.7085e+000              8.352219159642e-011
     1.7487e+000              8.686667601152e-011
     1.7889e+000              1.000865481856e-010
     1.8291e+000              1.071281096523e-010
     1.8693e+000              1.119909916328e-010
     1.9095e+000              1.243855915868e-010
     1.9497e+000              1.319266117838e-010
     1.9899e+000              1.408928035774e-010
     2.0302e+000              1.468330228703e-010
     2.0704e+000              1.538042157470e-010
     2.1106e+000              1.522143682805e-010
     2.1508e+000              1.646697034370e-010
     2.1910e+000              1.908491743699e-010
     2.2312e+000              2.212952475278e-010
     2.2714e+000              2.345640354046e-010
     2.3116e+000              2.169651247607e-010
     2.3518e+000              2.212720385655e-010
     2.3920e+000              2.529754594728e-010
     2.4322e+000              2.725053310957e-010
     2.4724e+000              2.722981363465e-010
     2.5126e+000              2.953556332963e-010
     2.5528e+000              3.249157478542e-010
     2.5930e+000              3.360477574731e-010
     2.6332e+000              3.380431184135e-010
     2.6734e+000              4.139726858015e-010
     2.7136e+000              4.157990058632e-010
     2.7538e+000              4.113615759783e-010
     2.7940e+000              4.070856738328e-010
     2.8342e+000              4.915221779323e-010
     2.8744e+000              5.068694263463e-010
     2.9146e+000              5.215999701538e-010
     2.9548e+000              5.262085582482e-010
     2.9950e+000              5.373815870663e-010
