Experiment	bias spectroscopy	
Saved Date	11.02.2025 15:23:20	
User		
Date		
X (m)	-136.49E-9	
Y (m)	-199.234E-9	
Z (m)	-346.102E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	20E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	-339.559E-9	
Start time	11.02.2025 15:22:35	
Filter type	None	
Order		
Cutoff frq		
Z (m)	-339.78733E-9	

[DATA]
Bias calc (V)	Current (A)	Input 2 (V)	Input 3 (V)	Input 4 (V)	Input 5 (V)	Input 6 (V)	Input 7 (V)	Input 8 (V)	Bias (V)	Output 2 (V)	Output 3 (V)	Output 4 (V)	X (m)	Y (m)	Z (m)	Output 8 (V)	Fast Output 1 (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC M1 Excitation (V)	OC D1 X (m)	OC D1 Y (m)	OC D2 Phase (deg)	Current [bwd] (A)	Input 2 [bwd] (V)	Input 3 [bwd] (V)	Input 4 [bwd] (V)	Input 5 [bwd] (V)	Input 6 [bwd] (V)	Input 7 [bwd] (V)	Input 8 [bwd] (V)	Bias [bwd] (V)	Output 2 [bwd] (V)	Output 3 [bwd] (V)	Output 4 [bwd] (V)	X [bwd] (m)	Y [bwd] (m)	Z [bwd] (m)	Output 8 [bwd] (V)	Fast Output 1 [bwd] (V)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)	OC M1 Excitation [bwd] (V)	OC D1 X [bwd] (m)	OC D1 Y [bwd] (m)	OC D2 Phase [bwd] (deg)
-3.0000000E+0	-872.11727E-12	9.9999237E+0	-6.1597363E-3	-5.9182066E-3	-1.0569509E-3	-1.1013959E-3	-7.2112032E-3	-175.85115E-3	-3.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-136.49026E-9	-199.23432E-9	-341.41041E-9	0.0000000E+0	0.0000000E+0	1.0865792E+0	482.69343E-6	0.0000000E+0	0.0000000E+0	-6.5294312E-6	1.3073180E-6	792.64784E-3	-16.758813E-9	9.9999237E+0	-6.1597838E-3	-5.9225666E-3	-1.0370382E-3	-1.1056595E-3	-7.1886214E-3	-3.3527567E+0	-3.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-136.49026E-9	-199.23432E-9	-341.41041E-9	0.0000000E+0	0.0000000E+0	-1.3247410E+0	484.87826E-6	0.0000000E+0	0.0000000E+0	1.6391344E-6	-27.906410E-6	-1.0191928E+0
-2.9698493E+0	-684.85284E-12	9.9999237E+0	-6.1606523E-3	-5.9222081E-3	-1.0706075E-3	-1.1001969E-3	-7.2393483E-3	-138.41565E-3	-2.9698493E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-136.49026E-9	-199.23432E-9	-341.41041E-9	0.0000000E+0	0.0000000E+0	-1.1395149E+0	481.34275E-6	0.0000000E+0	0.0000000E+0	-31.698382E-6	-12.921683E-6	-1.4338046E+0	-16.748302E-9	9.9999237E+0	-6.1691664E-3	-5.9337858E-3	-1.0493291E-3	-1.0995191E-3	-7.2133560E-3	-3.3506567E+0	-2.9698493E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-136.49026E-9	-199.23432E-9	-341.41041E-9	0.0000000E+0	0.0000000E+0	-1.1427438E+0	480.98626E-6	0.0000000E+0	0.0000000E+0	-18.284576E-6	-2.7257681E-6	-837.10837E-3
-2.9396985E+0	-509.20623E-12	9.9999237E+0	-6.1735637E-3	-5.9314370E-3	-1.0733197E-3	-1.1119690E-3	-7.2382051E-3	-103.29483E-3	-2.9396985E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-136.49026E-9	-199.23432E-9	-341.41041E-9	0.0000000E+0	0.0000000E+0	5.9656472E+0	479.15659E-6	0.0000000E+0	0.0000000E+0	-14.767555E-6	10.396863E-6	5.9712615E+0	-16.741025E-9	9.9999237E+0	-6.1750882E-3	-5.9377444E-3	-1.0686964E-3	-1.1183751E-3	-7.2202911E-3	-3.3492055E+0	-2.9396985E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-136.49026E-9	-199.23432E-9	-341.41041E-9	0.0000000E+0	0.0000000E+0	-7.8116055E+0	489.72946E-6	0.0000000E+0	0.0000000E+0	-32.966484E-6	-31.789463E-6	-7.8056564E+0
-2.9095478E+0	-425.31395E-12	9.9999237E+0	-6.1393813E-3	-5.9038620E-3	-1.0516256E-3	-1.0879466E-3	-7.2102053E-3	-86.529002E-3	-2.9095478E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-136.49026E-9	-199.23432E-9	-341.41041E-9	0.0000000E+0	0.0000000E+0	7.2939811E+0	470.95621E-6	0.0000000E+0	0.0000000E+0	-39.874692E-6	10.180969E-6	6.9996266E+0	-16.740556E-9	9.9999237E+0	-6.1638895E-3	-5.9069102E-3	-1.0322290E-3	-1.0986913E-3	-7.2135045E-3	-3.3491147E+0	-2.9095478E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-136.49026E-9	-199.23432E-9	-341.41041E-9	0.0000000E+0	0.0000000E+0	-2.4193745E+0	478.18298E-6	0.0000000E+0	0.0000000E+0	-32.969641E-6	-13.542904E-6	-1.8135642E+0
-2.8793969E+0	-343.90885E-12	9.9999237E+0	-6.1548604E-3	-5.9029288E-3	-1.0764325E-3	-1.1089236E-3	-7.2165923E-3	-70.258074E-3	-2.8793969E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-136.49026E-9	-199.23432E-9	-341.41041E-9	0.0000000E+0	0.0000000E+0	2.9061644E+0	481.47791E-6	0.0000000E+0	0.0000000E+0	-30.902651E-6	4.4126491E-6	2.6117873E+0	-14.865494E-9	9.9999237E+0	-6.1580190E-3	-5.9230882E-3	-1.0453046E-3	-1.1204617E-3	-7.2220499E-3	-2.9741380E+0	-2.8793969E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-136.49026E-9	-199.23432E-9	-341.41041E-9	0.0000000E+0	0.0000000E+0	6.3915496E+0	478.34264E-6	0.0000000E+0	0.0000000E+0	-52.351406E-6	26.647471E-6	6.3973694E+0
-2.8492463E+0	-251.58883E-12	9.9999237E+0	-6.1699944E-3	-5.9288712E-3	-1.0541573E-3	-1.1107292E-3	-7.2456296E-3	-51.809434E-3	-2.8492463E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-136.49026E-9	-199.23432E-9	-341.41041E-9	0.0000000E+0	0.0000000E+0	-1.5169612E+0	483.54396E-6	0.0000000E+0	0.0000000E+0	6.2918393E-6	-9.5151290E-6	-1.5111164E+0	-16.719909E-9	9.9999237E+0	-6.1926167E-3	-5.9241755E-3	-1.0767389E-3	-1.1330630E-3	-7.2371420E-3	-3.3449802E+0	-2.8492463E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-136.49026E-9	-199.23432E-9	-341.41041E-9	0.0000000E+0	0.0000000E+0	3.7749457E+0	474.48403E-6	0.0000000E+0	0.0000000E+0	-19.596291E-6	-2.6121531E-6	3.4803748E+0
-2.8190954E+0	-231.13832E-12	9.9999237E+0	-6.1545763E-3	-5.9080063E-3	-1.0483246E-3	-1.0903282E-3	-7.2091003E-3	-47.726702E-3	-2.8190954E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-136.49026E-9	-199.23432E-9	-341.41041E-9	0.0000000E+0	0.0000000E+0	-5.1559210E+0	490.73453E-6	0.0000000E+0	0.0000000E+0	-14.788026E-6	-31.186551E-6	-5.1501865E+0	-16.550015E-9	9.9999237E+0	-6.1582988E-3	-5.9047150E-3	-1.0338796E-3	-1.1216215E-3	-7.1921120E-3	-3.3110139E+0	-2.8190954E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-136.49026E-9	-199.23432E-9	-341.41041E-9	0.0000000E+0	0.0000000E+0	1.5916420E+0	473.29179E-6	0.0000000E+0	0.0000000E+0	7.4717427E-6	15.077047E-6	1.2972999E+0
-2.7889447E+0	-222.99175E-12	9.9999237E+0	-6.1779544E-3	-5.9266868E-3	-1.0526886E-3	-1.0999540E-3	-7.2270888E-3	-46.098396E-3	-2.7889447E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-136.49026E-9	-199.23432E-9	-341.41041E-9	0.0000000E+0	0.0000000E+0	3.0189242E+0	470.18344E-6	0.0000000E+0	0.0000000E+0	-28.061431E-6	7.5163935E-6	2.7275231E+0	-16.723376E-9	9.9999237E+0	-6.1760037E-3	-5.9116962E-3	-1.0651767E-3	-1.1242129E-3	-7.2034490E-3	-3.3456690E+0	-2.7889447E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-136.49026E-9	-199.23432E-9	-341.41041E-9	0.0000000E+0	0.0000000E+0	3.9697981E+0	489.73120E-6	0.0000000E+0	0.0000000E+0	-51.435298E-6	21.988921E-6	3.6755023E+0
-2.7587941E+0	-188.94135E-12	9.9999237E+0	-6.1848513E-3	-5.9379921E-3	-1.0754724E-3	-1.1126442E-3	-7.2297617E-3	-39.283924E-3	-2.7587941E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-136.49026E-9	-199.23432E-9	-341.41041E-9	0.0000000E+0	0.0000000E+0	9.1770296E+0	483.14434E-6	0.0000000E+0	0.0000000E+0	-21.228960E-6	24.849236E-6	8.8828726E+0	-16.719355E-9	9.9999237E+0	-6.1891237E-3	-5.9274761E-3	-1.0755907E-3	-1.1460520E-3	-7.2257919E-3	-3.3448691E+0	-2.7587941E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-136.49026E-9	-199.23432E-9	-341.41041E-9	0.0000000E+0	0.0000000E+0	-1.9914495E+0	485.36362E-6	0.0000000E+0	0.0000000E+0	849.17673E-9	-9.8765604E-6	-1.9859546E+0
-2.7286432E+0	-176.08527E-12	9.9999237E+0	-6.1813942E-3	-5.9403228E-3	-1.0535914E-3	-1.1063131E-3	-7.2266655E-3	-36.712680E-3	-2.7286432E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-136.49026E-9	-199.23432E-9	-341.41041E-9	0.0000000E+0	0.0000000E+0	-2.6033347E+0	490.45414E-6	0.0000000E+0	0.0000000E+0	6.3825446E-6	-30.369005E-6	-2.8975182E+0	-16.714555E-9	9.9999237E+0	-6.1553954E-3	-5.9031066E-3	-1.0390587E-3	-1.0993246E-3	-7.2019994E-3	-3.3439157E+0	-2.7286432E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-136.49026E-9	-199.23432E-9	-341.41041E-9	0.0000000E+0	0.0000000E+0	3.5910690E+0	476.85084E-6	0.0000000E+0	0.0000000E+0	15.704787E-6	13.842845E-6	3.5966017E+0
