V,I_0,I_1,I_2,I_3,I_4
-0.8698999999999995,-3.8991927801274643e-10,-1.71766943742005e-09,-2.254255562518291e-09,-8.015093942335171e-10,-7.084402545391256e-10
-0.8598999999999994,-5.054226063480001e-10,-1.532628988884796e-09,-2.2428795971955503e-09,-7.968843088690682e-10,-8.267997392009433e-10
-0.8498999999999994,-5.977576697056758e-10,-1.5790580462860036e-09,-2.2173965582765404e-09,-7.847622237623377e-10,-8.314828823920687e-10
-0.8398999999999994,-6.733157135968334e-10,-1.7931029528135747e-09,-2.1816980522705788e-09,-7.672112767732667e-10,-7.538486748630572e-10
-0.8298999999999994,-6.899550738432367e-10,-1.7813553272042507e-09,-2.169052486196632e-09,-7.715993730282279e-10,-9.284854894673851e-10
-0.8198999999999994,-6.616000954332515e-10,-1.5971770729966002e-09,-2.174011722575172e-09,-7.927416240004088e-10,-1.2957737195632627e-09
-0.8098999999999994,-6.554444220358682e-10,-1.5238935896693555e-09,-2.1326284876536695e-09,-7.96648379084209e-10,-1.2290561687597215e-09
-0.7998999999999994,-6.671603913020548e-10,-1.5398864020328115e-09,-2.0539370538155364e-09,-7.86679626647764e-10,-8.129404622141411e-10
-0.7898999999999994,-6.343574961050589e-10,-1.5066853869554648e-09,-1.982754731057746e-09,-8.290031061339504e-10,-5.545792931933501e-10
-0.7798999999999994,-5.636311237727687e-10,-1.4315785188730005e-09,-1.917969058479504e-09,-9.158718202208855e-10,-4.3060161910104986e-10
-0.7698999999999994,-4.3107866112911715e-10,-1.4032008582660336e-09,-1.881672273220173e-09,-9.513734952883036e-10,-3.668546666996838e-10
-0.7598999999999994,-2.4303522938249377e-10,-1.4167642130972154e-09,-1.8709452103552278e-09,-9.40771547099128e-10,-3.5716678708732034e-10
-0.7498999999999993,-1.4719996379195208e-10,-1.3699127317974747e-09,-1.927893796698562e-09,-9.606140762354727e-10,-3.528592170399887e-10
-0.7398999999999993,-1.3889954599478366e-10,-1.265708374872487e-09,-2.049088077319526e-09,-1.0093580877451597e-09,-3.536592703029296e-10
-0.7298999999999993,-1.354077672199209e-10,-1.2096732944874958e-09,-2.1016435499697902e-09,-9.777266347073943e-10,-3.4564745250094135e-10
-0.7198999999999993,-1.3672462746736254e-10,-1.2018074906424883e-09,-2.085560214649373e-09,-8.657197171221979e-10,-3.2882376363402623e-10
-0.7098999999999993,-1.4664378002278266e-10,-1.2090188553314316e-09,-2.1333495699583844e-09,-8.008954475090262e-10,-3.050554765403789e-10
-0.6998999999999993,-1.6562448484512621e-10,-1.23211232979022e-09,-2.248421656874968e-09,-7.857728173407045e-10,-2.7397183238243456e-10
-0.6898999999999993,-1.6240076187009536e-10,-1.2021487385446934e-09,-2.211348674108128e-09,-8.175844383000986e-10,-2.5700023225889225e-10
-0.6798999999999993,-1.344376447106815e-10,-1.113070826736447e-09,-2.004760994252191e-09,-9.016885547019865e-10,-2.557517763343518e-10
-0.6698999999999993,-1.1473996435164236e-10,-1.0482409144445852e-09,-1.827326678636643e-09,-8.70865763840249e-10,-2.5341396374953767e-10
-0.6598999999999993,-1.0474518806260558e-10,-1.0118760450632544e-09,-1.6841158775641498e-09,-7.051287774951639e-10,-2.497973411722288e-10
-0.6498999999999993,-9.963684768939379e-11,-9.568077320949486e-10,-1.6348248765762347e-09,-6.411417092841578e-10,-2.4908106002387455e-10
-0.6398999999999992,-1.0059820574076985e-10,-8.785068905455202e-10,-1.7021965869041033e-09,-7.035435528360701e-10,-2.519674451348035e-10
-0.6298999999999992,-1.1923586353913649e-10,-8.35489750120899e-10,-1.7386466886706055e-09,-7.11957321636129e-10,-2.6210304535589154e-10
-0.6198999999999992,-1.6102008474752793e-10,-8.386755162499953e-10,-1.7346059080946373e-09,-6.496753897796243e-10,-2.8173126674894025e-10
-0.6098999999999992,-1.820152761642931e-10,-8.284297815414602e-10,-1.6868932361901353e-09,-6.630672767989241e-10,-2.858079154848289e-10
-0.5998999999999992,-1.7418367448098462e-10,-7.995594597525877e-10,-1.5786235980281877e-09,-7.813911179156655e-10,-2.6832021168179856e-10
-0.5898999999999992,-1.6294172721234476e-10,-7.505174523573468e-10,-1.5387770440236313e-09,-8.006562166890234e-10,-2.490017974391206e-10
-0.5798999999999992,-1.467102595553155e-10,-6.719631758729953e-10,-1.59903716979611e-09,-6.749930076989592e-10,-2.270049546221808e-10
-0.5698999999999992,-1.2667374502624416e-10,-5.933390503170063e-10,-1.631501422623748e-09,-5.987985599504279e-10,-2.1323421438140968e-10
-0.5598999999999992,-1.007602242596949e-10,-5.146070408259433e-10,-1.6210341363228542e-09,-5.990100614985909e-10,-2.121689302824524e-10
-0.5498999999999992,-9.638963901907123e-11,-4.562994848948339e-10,-1.5603131255660187e-09,-5.795454271602554e-10,-2.0549553628283711e-10
-0.5398999999999992,-1.2731763679057152e-10,-4.3145785418991585e-10,-1.4172502602257303e-09,-5.278410028865344e-10,-1.8963312843544513e-10
-0.5298999999999991,-1.443316819787389e-10,-4.2643755877553086e-10,-1.3378619794292083e-09,-4.674623234280937e-10,-1.7596023327415346e-10
-0.5198999999999991,-1.3724341586136056e-10,-4.5575258186987043e-10,-1.3687733887986223e-09,-3.920577483764553e-10,-1.660801005253948e-10
-0.5098999999999991,-1.330588730047624e-10,-4.574149554201761e-10,-1.4213354486562374e-09,-3.583909298887523e-10,-1.5780807113545638e-10
-0.4998999999999991,-1.3421982069641665e-10,-4.0817131503716555e-10,-1.5137543878216624e-09,-4.0155952689372016e-10,-1.5249641383789054e-10
-0.4898999999999991,-1.3615185298378268e-10,-3.7512715362239854e-10,-1.534875419967904e-09,-4.2911996423225796e-10,-1.4591550512381235e-10
-0.4798999999999991,-1.395873865034947e-10,-3.736695868920113e-10,-1.4169760493422832e-09,-4.262467923097157e-10,-1.368597433527597e-10
-0.4698999999999991,-1.4064962129544346e-10,-3.740101753123387e-10,-1.256309906696952e-09,-4.130963641197713e-10,-1.3362098891744238e-10
-0.4598999999999991,-1.367826971912706e-10,-3.780853936610719e-10,-1.0068204683184126e-09,-3.7860086522061583e-10,-1.4246371125633954e-10
-0.4498999999999991,-1.3082169491171946e-10,-3.900745355225705e-10,-8.804674892389371e-10,-3.493170565555364e-10,-1.4298047202169392e-10
