V_0,didv_0,V_1,didv_1,V_2,didv_2,V_3,didv_3,V_4,didv_4,V_5,didv_5,V_6,didv_6,V_7,didv_7,V_8,didv_8,V_9,didv_9,V_10,didv_10,V_11,didv_11,V_12,didv_12,V_13,didv_13,V_14,didv_14,V_15,didv_15,V_16,didv_16,V_17,didv_17,V_18,didv_18,V_19,didv_19,V_20,didv_20,V_21,didv_21,V_22,didv_22,V_23,didv_23,V_24,didv_24,V_25,didv_25,V_26,didv_26,V_27,didv_27,V_28,didv_28,V_29,didv_29,V_30,didv_30,V_31,didv_31,V_32,didv_32,V_33,didv_33,V_34,didv_34,V_35,didv_35,V_36,didv_36,V_37,didv_37,V_38,didv_38,V_39,didv_39,V_40,didv_40,V_41,didv_41,V_42,didv_42,V_43,didv_43,V_44,didv_44,V_45,didv_45,V_46,didv_46,V_47,didv_47,V_48,didv_48,V_49,didv_49,V_50,didv_50,V_51,didv_51,V_52,didv_52,V_53,didv_53,V_54,didv_54,V_55,didv_55,V_56,didv_56,V_57,didv_57,V_58,didv_58,V_59,didv_59
-0.5781241096,0.4028144275864958,-0.9374993346,0.19594814608884123,-1.992187495,0.08602519684592934,-1.585937241,0.195927226446999,-1.476562172,0.6851627568647419,-1.992187495,0.1870844773169472,-1.98437499,0.16678627915513453,-1.992187495,0.4998872928158208,-1.992187495,0.009614545356775694,-1.546874716,-0.12904206466423715,-1.992187495,0.8359407033785179,-1.671874795,0.21305577487333296,-1.992187495,0.06950912051236163,-1.992187495,0.11600650425169466,-1.914062446,-0.17487333094023677,-1.992187495,0.0009579778437670318,-1.992187495,0.22187940709423676,-1.992187495,0.9157168345311579,-1.468749667,0.16130888370192528,-1.992187495,-0.21019974987811713,-1.624999765,0.4787135709244549,-1.570312231,0.6517488710875137,-1.992187495,0.5749854374071621,-1.992187495,0.8744953929869498,-1.992187495,0.9957421472330618,-1.992187495,0.8196398005382897,-1.609374755,0.4786748204952826,-1.66406229,0.529961268280071,-1.499999687,0.8332415913139186,-1.351562094,0.729153493619785,-1.539062211,0.8389429362260421,-1.468749667,0.24117005197927924,-1.765624853,0.6983267954320209,-1.843749902,0.9382306644444137,-1.695312309,0.3712254966441936,-1.515624697,0.17274748965928988,-1.609374755,-0.09454452509567153,-1.992187495,0.9999999999999966,-1.64843728,0.5358261200956904,-1.992187495,-0.7102352798015478,-1.773437358,0.9999999999999982,-1.992187495,0.6998536399138824,-1.992187495,0.36804500023202635,-1.992187495,0.24111057684630638,-1.98437499,0.5388604046090141,-1.992187495,0.038135047117779576,-1.726562329,0.9434549649119873,-1.687499804,0.8544354447028404,-1.484374677,0.2907641304927119,-1.359374599,0.5576252044971077,-1.28124955,-0.40095123560353335,-1.656249785,0.1346982475185328,-1.624999765,0.5311525317418941,-1.804687378,0.5396987154385128,-1.812499883,0.5669691681797902,-1.304687065,0.7619585187816924,-1.312499569,0.8948470482853287,-1.992187495,0.12999448001798672,-1.60156225,0.9999999999999972,-1.992187495,0.7512358802345899
-0.5681241096,0.39471627842030665,-0.9274993346,0.19594814608884137,-1.982187495,0.08602519684592846,-1.575937241,0.19592722644699959,-1.466562172,0.6851627568647419,-1.982187495,0.1870844773169466,-1.97437499,0.1667862791551378,-1.982187495,0.49988729281582034,-1.982187495,0.009614545356775375,-1.536874716,-0.12904206466423673,-1.982187495,0.8359407033785179,-1.661874795,0.2130557748733364,-1.982187495,0.06950912051236163,-1.982187495,0.11600650425169466,-1.904062446,-0.17487333094023677,-1.982187495,0.0009579778437664897,-1.982187495,0.22187940709423676,-1.982187495,0.9157168345311579,-1.458749667,0.16130888370192528,-1.982187495,-0.21019974987811713,-1.614999765,0.4787135709244549,-1.560312231,0.6517488710875092,-1.982187495,0.5749854374071612,-1.982187495,0.8744953929869488,-1.982187495,0.9957421472330609,-1.982187495,0.8196398005382897,-1.599374755,0.4786748204952826,-1.65406229,0.529961268280072,-1.489999687,0.8332415913139198,-1.341562094,0.729153493619785,-1.529062211,0.8389429362260417,-1.458749667,0.24117005197927754,-1.755624853,0.698326795432021,-1.833749902,0.9382306644444156,-1.685312309,0.3712254966441945,-1.505624697,0.17274748965929093,-1.599374755,-0.09454452509567153,-1.982187495,1.0,-1.63843728,0.5358261200956904,-1.982187495,-0.7102352798015478,-1.763437358,0.9999999999999969,-1.982187495,0.6998536399138824,-1.982187495,0.3680450002320272,-1.982187495,0.24111057684630274,-1.97437499,0.5388604046090141,-1.982187495,0.0381350471177746,-1.716562329,0.9434549649119882,-1.677499804,0.8544354447028404,-1.474374677,0.2907641304927112,-1.349374599,0.5576252044971077,-1.27124955,-0.40095123560353335,-1.646249785,0.1346982475185328,-1.614999765,0.5311525317418899,-1.7946873779999999,0.5396987154385128,-1.802499883,0.5669691681797902,-1.294687065,0.7619585187816935,-1.302499569,0.894847048285331,-1.982187495,0.12999448001798672,-1.59156225,0.9999999999999972,-1.982187495,0.7512358802345899
-0.5581241096,0.3418818168333711,-0.9174993346,0.19594814608884153,-1.972187495,0.08602519684592895,-1.565937241,0.19592722644700072,-1.456562172,0.6851627568647419,-1.972187495,0.18708447731694763,-1.96437499,0.16678627915513597,-1.972187495,0.4998872928158193,-1.972187495,0.009614545356774556,-1.526874716,-0.12904206466423698,-1.972187495,0.8359407033785179,-1.651874795,0.2130557748733345,-1.972187495,0.06950912051236163,-1.972187495,0.11600650425169466,-1.894062446,-0.17487333094023677,-1.972187495,0.0009579778437650956,-1.972187495,0.22187940709423676,-1.972187495,0.9157168345311579,-1.448749667,0.16130888370192528,-1.972187495,-0.21019974987811713,-1.604999765,0.4787135709244549,-1.550312231,0.6517488710875092,-1.972187495,0.5749854374071608,-1.972187495,0.8744953929869462,-1.972187495,0.9957421472330603,-1.972187495,0.8196398005382897,-1.589374755,0.4786748204952826,-1.64406229,0.5299612682800725,-1.479999687,0.8332415913139186,-1.331562094,0.729153493619785,-1.519062211,0.8389429362260414,-1.448749667,0.2411700519792785,-1.745624853,0.6983267954320218,-1.823749902,0.9382306644444123,-1.675312309,0.3712254966441936,-1.495624697,0.17274748965929088,-1.589374755,-0.09454452509567153,-1.972187495,0.9999999999999981,-1.62843728,0.5358261200956904,-1.972187495,-0.7102352798015478,-1.753437358,0.9999999999999993,-1.972187495,0.6998536399138824,-1.972187495,0.36804500023202935,-1.972187495,0.24111057684630477,-1.96437499,0.5388604046090141,-1.972187495,0.03813504711777739,-1.706562329,0.9434549649119904,-1.667499804,0.8544354447028404,-1.464374677,0.2907641304927096,-1.3393745989999999,0.5576252044971077,-1.26124955,-0.40095123560353335,-1.636249785,0.1346982475185328,-1.604999765,0.5311525317418923,-1.7846873779999999,0.5396987154385128,-1.792499883,0.5669691681797902,-1.284687065,0.7619585187816924,-1.292499569,0.8948470482853297,-1.972187495,0.12999448001798672,-1.58156225,0.9999999999999977,-1.972187495,0.7512358802345899
-0.5481241096,0.3129990370200667,-0.9074993346,0.19594814608884167,-1.962187495,0.08602519684592934,-1.555937241,0.19592722644700009,-1.446562172,0.6851627568647419,-1.962187495,0.18708447731694733,-1.95437499,0.16678627915513453,-1.962187495,0.49988729281582056,-1.962187495,0.009614545356775512,-1.516874716,-0.12904206466423856,-1.962187495,0.8359407033785179,-1.6418747949999999,0.21305577487333296,-1.962187495,0.06950912051236163,-1.962187495,0.11600650425169158,-1.884062446,-0.17487333094023527,-1.962187495,0.0009579778437667219,-1.962187495,0.22187940709423676,-1.962187495,0.9157168345311593,-1.438749667,0.16130888370192528,-1.962187495,-0.2101997498781182,-1.594999765,0.4787135709244549,-1.540312231,0.6517488710875092,-1.962187495,0.5749854374071596,-1.962187495,0.8744953929869492,-1.962187495,0.9957421472330618,-1.962187495,0.8196398005382937,-1.579374755,0.4786748204952826,-1.63406229,0.529961268280071,-1.469999687,0.8332415913139186,-1.321562094,0.729153493619785,-1.509062211,0.8389429362260421,-1.438749667,0.24117005197927924,-1.735624853,0.6983267954320226,-1.813749902,0.9382306644444133,-1.665312309,0.3712254966441947,-1.485624697,0.17274748965929076,-1.579374755,-0.09454452509567365,-1.962187495,0.9999999999999966,-1.61843728,0.5358261200956904,-1.962187495,-0.7102352798015478,-1.743437358,0.9999999999999999,-1.962187495,0.6998536399138824,-1.962187495,0.36804500023202685,-1.962187495,0.24111057684630638,-1.95437499,0.5388604046090141,-1.962187495,0.038135047117779576,-1.696562329,0.9434549649119878,-1.657499804,0.8544354447028404,-1.454374677,0.29076413049271005,-1.3293745989999999,0.5576252044971077,-1.25124955,-0.40095123560353335,-1.626249785,0.13469824751853657,-1.594999765,0.5311525317418923,-1.7746873779999999,0.5396987154385159,-1.782499883,0.5669691681797902,-1.274687065,0.7619585187816924,-1.282499569,0.8948470482853287,-1.962187495,0.12999448001798672,-1.57156225,0.9999999999999988,-1.962187495,0.7512358802345899
-0.5381241096,0.29415915645426327,-0.8974993346,0.19594814608884184,-1.952187495,0.08602519684592846,-1.545937241,0.19592722644699948,-1.436562172,0.6851627568647419,-1.952187495,0.18708447731694647,-1.94437499,0.16678627915513453,-1.952187495,0.4998872928158208,-1.952187495,0.009614545356775557,-1.506874716,0.1683525325744021,-1.952187495,0.8359407033785179,-1.6318747949999999,0.2130557748733362,-1.952187495,0.06950912051236163,-1.952187495,0.11600650425169143,-1.874062446,-0.17487333094023677,-1.952187495,0.0009579778437670318,-1.952187495,0.22187940709423676,-1.952187495,0.9157168345311583,-1.428749667,0.16130888370192528,-1.952187495,-0.21019974987811713,-1.584999765,0.4787135709244531,-1.530312231,0.6517488710875098,-1.952187495,0.5749854374071595,-1.952187495,0.8744953929869493,-1.952187495,0.9957421472330589,-1.952187495,0.8196398005382897,-1.569374755,0.4786748204952826,-1.62406229,0.5299612682800727,-1.459999687,0.8332415913139186,-1.311562094,0.729153493619785,-1.499062211,0.8389429362260409,-1.428749667,0.24117005197927774,-1.725624853,0.6983267954320233,-1.803749902,0.9382306644444159,-1.655312309,0.3712254966441936,-1.475624697,0.17274748965929065,-1.569374755,-0.09454452509567375,-1.952187495,0.9999999999999966,-1.60843728,0.5358261200956904,-1.952187495,-0.7102352798015478,-1.733437358,0.9999999999999997,-1.952187495,0.6998536399138824,-1.952187495,0.36804500023202635,-1.952187495,0.24111057684630594,-1.94437499,0.5388604046090141,-1.952187495,0.038135047117779576,-1.686562329,0.9434549649119877,-1.647499804,0.8544354447028404,-1.4443746769999999,0.29076413049271077,-1.3193745989999999,0.5576252044971077,-1.24124955,-0.40095123560353374,-1.616249785,0.1346982475185328,-1.584999765,0.5311525317418919,-1.7646873779999999,0.5396987154385128,-1.772499883,0.5669691681797904,-1.264687065,0.7619585187816911,-1.272499569,0.894847048285331,-1.952187495,0.12999448001798672,-1.56156225,0.9999999999999994,-1.952187495,0.7512358802345894
-0.5281241096,0.22100703156121096,-0.8874993346,0.195948146088842,-1.942187495,0.08602519684592881,-1.535937241,0.195927226446999,-1.426562172,0.6851627568647419,-1.942187495,0.18708447731694752,-1.93437499,0.16678627915513453,-1.942187495,0.4998872928158205,-1.942187495,0.009614545356775011,-1.496874716,0.11089545373449394,-1.942187495,0.8359407033785179,-1.6218747949999999,0.21305577487333402,-1.942187495,0.06950912051236163,-1.942187495,0.11600650425169466,-1.864062446,-0.17487333094023605,-1.942187495,0.0009579778437670318,-1.942187495,0.22187940709423676,-1.942187495,0.9157168345311589,-1.418749667,0.16130888370192528,-1.942187495,-0.21019974987811713,-1.574999765,0.47871357092445166,-1.520312231,0.6517488710875137,-1.942187495,0.5749854374071621,-1.942187495,0.8744953929869462,-1.942187495,0.9957421472330618,-1.942187495,0.8196398005382897,-1.559374755,0.4786748204952826,-1.61406229,0.5299612682800727,-1.449999687,0.8332415913139193,-1.301562094,0.7658149864941768,-1.489062211,0.8937323366509173,-1.418749667,0.3623793820032721,-1.715624853,0.698326795432024,-1.793749902,0.9382306644444126,-1.645312309,0.3712254966441936,-1.465624697,0.17274748965929052,-1.559374755,-0.0945445250956756,-1.942187495,0.9999999999999979,-1.59843728,0.5358261200956904,-1.942187495,-0.7102352798015478,-1.723437358,0.9999999999999994,-1.942187495,0.6998536399138824,-1.942187495,0.3680450002320276,-1.942187495,0.24111057684630274,-1.93437499,0.5388604046090141,-1.942187495,0.038135047117777585,-1.676562329,0.9434549649119892,-1.637499804,0.8544354447028404,-1.4343746769999999,0.29076413049271155,-1.3093745989999999,0.5576252044971077,-1.23124955,-0.38784182992602745,-1.606249785,0.134698247518531,-1.574999765,0.531152531741887,-1.7546873779999999,0.5396987154385136,-1.762499883,0.566969168179791,-1.254687065,0.7807660541620588,-1.262499569,0.8948470482853265,-1.942187495,0.12999448001798672,-1.55156225,0.9999999999999972,-1.942187495,0.7512358802345874
-0.5181241096,0.20781225660281916,-0.8774993346,0.19594814608884215,-1.932187495,0.08602519684592934,-1.525937241,0.195927226446999,-1.416562172,0.6851627568647419,-1.932187495,0.18708447731694744,-1.92437499,0.16678627915513453,-1.932187495,0.49988729281582006,-1.932187495,0.009614545356775694,-1.486874716,0.017394872443327526,-1.932187495,0.8359407033785179,-1.6118747949999999,0.21305577487333416,-1.932187495,0.06950912051236163,-1.932187495,0.11600650425169466,-1.854062446,-0.17487333094023622,-1.932187495,0.0009579778437657151,-1.932187495,0.22187940709423676,-1.932187495,0.9157168345311579,-1.408749667,0.1613088837019235,-1.932187495,-0.21019974987811713,-1.564999765,0.5412767506166761,-1.510312231,0.6517488710875121,-1.932187495,0.5749854374071621,-1.932187495,0.8744953929869487,-1.932187495,0.9957421472330595,-1.932187495,0.8196398005382897,-1.5493747549999999,0.4786748204952826,-1.60406229,0.5299612682800727,-1.439999687,0.9254560684080814,-1.2915620939999999,0.9375190132117649,-1.479062211,1.0,-1.408749667,0.724334326527054,-1.705624853,0.6983267954320248,-1.783749902,0.9382306644444128,-1.635312309,0.3712254966441917,-1.455624697,0.1727474896592904,-1.5493747549999999,0.07006121284112779,-1.932187495,1.0,-1.58843728,0.5358261200956904,-1.932187495,-0.7102352798015478,-1.713437358,0.9999999999999991,-1.932187495,0.6998536399138803,-1.932187495,0.36804500023202935,-1.932187495,0.2411105768463052,-1.92437499,0.5388604046090141,-1.932187495,0.0381350471177746,-1.666562329,0.9434549649119873,-1.627499804,0.8544354447028384,-1.4243746769999999,0.2907641304927119,-1.2993745989999999,0.5576252044971077,-1.22124955,-0.34589134245747305,-1.596249785,0.20484098656179334,-1.564999765,0.564744831769307,-1.7446873779999998,0.5396987154385134,-1.752499883,0.5669691681797902,-1.244687065,0.788206595539106,-1.252499569,0.8974284403273506,-1.932187495,0.12999448001798672,-1.54156225,0.9999999999999972,-1.932187495,0.7512358802345899
-0.5081241096,0.17769671062211986,-0.8674993346,0.19594814608884228,-1.922187495,0.0860251968459285,-1.515937241,0.195927226446999,-1.4065621719999999,0.6851627568647419,-1.922187495,0.1870844773169464,-1.91437499,0.16678627915513453,-1.922187495,0.49988729281582006,-1.922187495,0.009614545356774602,-1.476874716,0.03709793198147645,-1.922187495,0.8359407033785179,-1.6018747949999999,0.2130557748733347,-1.922187495,0.06950912051236163,-1.922187495,0.11600650425169466,-1.844062446,-0.17487333094023677,-1.922187495,0.0009579778437650956,-1.922187495,0.22187940709423676,-1.922187495,0.9157168345311594,-1.398749667,0.1377006533706606,-1.922187495,-0.21019974987811713,-1.554999765,0.6395223970885948,-1.5003122309999999,0.6517488710875114,-1.922187495,0.5749854374071592,-1.922187495,0.8744953929869498,-1.922187495,0.9957421472330616,-1.922187495,0.8196398005382897,-1.5393747549999999,0.4786748204952826,-1.5940622899999999,0.5299612682800727,-1.429999687,1.0,-1.2815620939999999,1.0,-1.469062211,0.7976528908467536,-1.398749667,0.6979791217213775,-1.695624853,0.6983267954320255,-1.773749902,0.9382306644444162,-1.625312309,0.4241951438186736,-1.445624697,0.1727474896592903,-1.5393747549999999,0.3404493803462896,-1.922187495,0.9999999999999967,-1.57843728,0.5358261200956904,-1.922187495,-0.7102352798015478,-1.703437358,0.9999999999999989,-1.922187495,0.6998536399138793,-1.922187495,0.36804500023202646,-1.922187495,0.24111057684630638,-1.91437499,0.5388604046090141,-1.922187495,0.038135047117779375,-1.656562329,0.9434549649119873,-1.617499804,0.9135713309420413,-1.4143746769999999,0.2907641304927097,-1.2893745989999998,0.5576252044971077,-1.21124955,-0.3039408549889186,-1.586249785,0.3368752475748344,-1.554999765,0.6441050087321409,-1.7346873779999998,0.5396987154385146,-1.742499883,0.5669691681797902,-1.234687065,0.6983712289878147,-1.242499569,0.8142858208405045,-1.922187495,0.12999448001798672,-1.53156225,0.9999999999999997,-1.922187495,0.751235880234588
-0.4981241096,0.16290517986478123,-0.8574993345999999,0.19594814608884245,-1.912187495,0.08061493735641294,-1.505937241,0.2375606175187841,-1.3965621719999999,0.6851627568647403,-1.912187495,0.20034775525563775,-1.90437499,0.16678627915513453,-1.912187495,0.527709736261172,-1.912187495,0.054993792069171384,-1.466874716,0.03176958884314028,-1.912187495,0.8359407033785179,-1.5918747949999998,0.16507442832144725,-1.912187495,0.08456698670006264,-1.912187495,0.09835834682085638,-1.834062446,-0.14419389399323912,-1.912187495,-0.07107364192567425,-1.912187495,0.2931288218962083,-1.912187495,0.8894006414271203,-1.388749667,0.10622284924439702,-1.912187495,-0.004108934509079483,-1.544999765,0.5623319470342092,-1.4903122309999999,0.6633148156928325,-1.912187495,0.5862143136354558,-1.912187495,0.8647456258419774,-1.912187495,0.9626069363592846,-1.912187495,0.8347787472776902,-1.5293747549999999,0.4786748204952801,-1.5840622899999999,0.5299612682800727,-1.419999687,0.6309893765085036,-1.2715620939999999,0.7730904710461626,-1.459062211,0.45881246891576705,-1.388749667,0.5176718898309959,-1.685624853,0.6983267954320262,-1.763749902,0.9336692059336409,-1.615312309,0.3370538668704966,-1.435624697,0.17274748965929013,-1.5293747549999999,0.022719453555235025,-1.912187495,0.9850331153393458,-1.56843728,0.5358261200956911,-1.912187495,-0.6878420864239099,-1.693437358,0.9999999999999986,-1.912187495,0.7228797800471981,-1.912187495,0.38678822164837784,-1.912187495,0.24085911759499687,-1.90437499,0.5824048346433228,-1.912187495,0.036757742633562594,-1.646562329,1.0,-1.607499804,0.8521391348898142,-1.4043746769999998,0.2907641304927119,-1.2793745989999998,0.5576252044971073,-1.20124955,-0.30154958346349436,-1.576249785,0.40657488775983536,-1.544999765,0.6590809802608881,-1.7246873779999998,0.5377441786992389,-1.732499883,0.5669691681797919,-1.224687065,0.6552968657776673,-1.232499569,0.684230191100312,-1.912187495,0.13030346958682074,-1.52156225,0.9999999999999991,-1.912187495,0.7123063379201408
-0.48812410959999997,0.15373914683232767,-0.8474993345999999,0.19594814608884262,-1.902187495,0.05021357199272744,-1.495937241,0.4246938634099467,-1.3865621719999999,0.6851627568647412,-1.902187495,0.2691549175209796,-1.89437499,0.16678627915513453,-1.902187495,0.6029443365638596,-1.902187495,0.2996238035858707,-1.456874716,0.07373904640410602,-1.902187495,0.8359407033785184,-1.5818747949999998,0.1375689158003394,-1.902187495,0.15581512444318796,-1.902187495,-0.09510293388322416,-1.824062446,0.015137254943328356,-1.902187495,-0.47069470837375277,-1.902187495,0.6009243800870762,-1.902187495,0.7222245538402045,-1.378749667,0.07474504511813347,-1.902187495,0.7551585389347131,-1.534999765,0.46566956655915426,-1.4803122309999999,0.7196926128479884,-1.902187495,0.6387743435448326,-1.902187495,0.7949802063272904,-1.902187495,0.7675443644589307,-1.902187495,0.9191566571762092,-1.5193747549999999,0.49946479811143585,-1.5740622899999999,0.4751401110890438,-1.409999687,0.6311267533913281,-1.2615620939999999,0.5688453173460218,-1.449062211,0.28550439682906986,-1.378749667,0.44537790355889206,-1.675624853,0.698326795432027,-1.753749902,0.8399116320555424,-1.6053123089999999,0.28204933114600017,-1.425624697,0.17274748965929002,-1.5193747549999999,-0.07028943430816638,-1.902187495,0.9121642890089914,-1.55843728,0.5187358757955478,-1.902187495,-0.5539645798852235,-1.683437358,0.9999999999999983,-1.902187495,0.7865514221004092,-1.902187495,0.4219232435725992,-1.902187495,0.25544147466865413,-1.89437499,0.7264885167688724,-1.902187495,0.01622568100250179,-1.636562329,0.9352088086639788,-1.597499804,0.6663419583158671,-1.3943746769999998,0.29076413049271066,-1.2693745989999998,0.5576252044971068,-1.19124955,-0.300434601150401,-1.566249785,0.2643346083297413,-1.534999765,0.7398483076098552,-1.7146873779999998,0.5067919435110119,-1.722499883,0.5751725760604514,-1.214687065,0.6692006107745554,-1.222499569,0.7451668446843366,-1.902187495,0.12271943268560087,-1.5115622499999999,1.0,-1.902187495,0.47657384764908944
