# Single Point Spectroscopy       
# 
# Sample                          MoO3
# Data set                        23/10/2024
# Creation Comment                
# Ramp start value                0.000e+000 V
# Ramp end value                  3.000e+000 V
# Raster time                     1.000e-001 seconds
# Varied-Z spectroscopy           No
# Automatic ramp reversal         Yes
# Channel name and data unit      I(V) [A]
# Sample position                 -8.400e+001, -3.150e+001 [nm]
# Averaged curves                 25
# 
# 
# Ramp value [V]                              I(V)
# --------------             ---------------------
     0.0000e+000              1.9109084379883e-012
     2.0134e-002              4.0037221790377e-013
     4.0268e-002              3.7184943199308e-013
     6.0403e-002              3.9519518947817e-013
     8.0537e-002              4.0184456970097e-013
     1.0067e-001              4.2059057120648e-013
     1.2081e-001              4.5179705987160e-013
     1.4094e-001              4.2549124580153e-013
     1.6107e-001              4.7501845813293e-013
     1.8121e-001              4.7507526419810e-013
     2.0134e-001              5.1856568063108e-013
     2.2148e-001              5.7467164942858e-013
     2.4161e-001              5.7543315776165e-013
     2.6174e-001              5.6649311134342e-013
     2.8188e-001              6.4632559179254e-013
     3.0201e-001              6.5435213527090e-013
     3.2215e-001              6.8459906202439e-013
     3.4228e-001              7.4511594501726e-013
     3.6242e-001              7.8719081571821e-013
     3.8255e-001              7.7569449636741e-013
     4.0268e-001              8.4478909520067e-013
     4.2282e-001              9.1824087276224e-013
     4.4295e-001              9.9550786848444e-013
     4.6309e-001              1.0848684148912e-012
     4.8322e-001              1.0558942510573e-012
     5.0336e-001              1.1323168322973e-012
     5.2349e-001              1.2013884016447e-012
     5.4362e-001              1.3005917503162e-012
     5.6376e-001              1.3794262863772e-012
     5.8389e-001              1.7128901713071e-012
     6.0403e-001              1.7350291837322e-012
     6.2416e-001              1.8157229669531e-012
     6.4430e-001              2.0084490577793e-012
     6.6443e-001              1.9267097358994e-012
     6.8456e-001              2.1469514564538e-012
     7.0470e-001              2.4698831898417e-012
     7.2483e-001              2.5118029953378e-012
     7.4497e-001              2.7351813318689e-012
     7.6510e-001              2.9302073006848e-012
