# Single Point Spectroscopy       
# 
# Sample                          MoO3
# Data set                        23/10/2024
# Creation Comment                
# Ramp start value                0.000e+000 V
# Ramp end value                  3.000e+000 V
# Raster time                     1.000e-001 seconds
# Varied-Z spectroscopy           No
# Automatic ramp reversal         Yes
# Channel name and data unit      I(V) [A]
# Sample position                 -8.400e+001, -3.150e+001 [nm]
# 
# 
# Ramp value [V]                              I(V)
# --------------             ---------------------
     0.0000e+000              1.9102329064025e-012
     2.0134e-002              4.4753660498398e-013
     4.0268e-002              5.1580981882089e-013
     6.0403e-002              5.6547367276851e-013
     8.0537e-002              6.2239488536613e-013
     1.0067e-001              6.6933358348473e-013
     1.2081e-001              7.9265033917059e-013
     1.4094e-001              7.8852959649731e-013
     1.6107e-001              8.2472273650476e-013
     1.8121e-001              9.2736361976845e-013
     2.0134e-001              1.2644707693645e-012
     2.2148e-001              1.3521225279190e-012
     2.4161e-001              1.3853878526217e-012
     2.6174e-001              1.4713953058845e-012
     2.8188e-001              1.6032529302334e-012
     3.0201e-001              1.5950175860831e-012
     3.2215e-001              1.6418887310431e-012
     3.4228e-001              1.7524456162529e-012
     3.6242e-001              2.0017996775565e-012
     3.8255e-001              2.1213088915770e-012
     4.0268e-001              2.2014223317539e-012
     4.2282e-001              2.3144095953735e-012
     4.4295e-001              2.4870493686159e-012
     4.6309e-001              2.6311617500505e-012
     4.8322e-001              3.0084921996828e-012
     5.0336e-001              3.2720692714653e-012
     5.2349e-001              3.3662260921311e-012
     5.4362e-001              3.5785118929639e-012
     5.6376e-001              3.1048368215072e-012
     5.8389e-001              3.3110228791801e-012
     6.0403e-001              4.5768370352208e-012
     6.2416e-001              5.3332788813934e-012
     6.4430e-001              5.9384999114900e-012
     6.6443e-001              4.6268708962416e-012
     6.8456e-001              4.8448096682081e-012
     7.0470e-001              4.9417407742728e-012
     7.2483e-001              4.8418695705108e-012
     7.4497e-001              5.3215430553894e-012
     7.6510e-001              5.5496194070399e-012
     7.8523e-001              6.1908309176682e-012
     8.0537e-001              6.4014417072280e-012
     8.2550e-001              6.7182721621571e-012
     8.4564e-001              7.1060088688085e-012
     8.6577e-001              7.2614149101182e-012
     8.8591e-001              7.6756078901475e-012
     9.0604e-001              7.3676483931790e-012
     9.2617e-001              8.2034959066624e-012
     9.4631e-001              8.8181037552033e-012
     9.6644e-001              9.5840475672496e-012
     9.8658e-001              1.0602130473092e-011
     1.0067e+000              1.0990616405684e-011
     1.0268e+000              1.1537262706097e-011
     1.0470e+000              1.1423325092360e-011
     1.0671e+000              1.1889569316373e-011
     1.0872e+000              1.1894899874704e-011
     1.1074e+000              1.3290130529591e-011
     1.1275e+000              1.1958355320095e-011
     1.1477e+000              1.5937959486221e-011
     1.1678e+000              1.6935123942390e-011
     1.1879e+000              1.5557933051442e-011
     1.2081e+000              1.6150707412071e-011
     1.2282e+000              1.7716683281161e-011
     1.2483e+000              1.7966209295959e-011
     1.2685e+000              1.9510305618166e-011
     1.2886e+000              2.1583776126376e-011
     1.3087e+000              1.9883940602964e-011
     1.3289e+000              2.1908881843231e-011
     1.3490e+000              2.1385667277050e-011
     1.3691e+000              2.3969142638341e-011
     1.3893e+000              2.5614809740367e-011
     1.4094e+000              2.6988045700940e-011
     1.4295e+000              2.7261912347013e-011
     1.4497e+000              3.5117322180512e-011
     1.4698e+000              3.2372516058844e-011
     1.4899e+000              3.2708955353350e-011
     1.5101e+000              3.0889754934029e-011
     1.5302e+000              3.7250551133980e-011
     1.5503e+000              4.2056476282930e-011
     1.5705e+000              5.3033775504580e-011
     1.5906e+000              6.4387451755146e-011
     1.6107e+000              5.0548058775547e-011
     1.6309e+000              6.0745427610726e-011
     1.6510e+000              7.1691681550112e-011
     1.6711e+000              5.0386741832862e-011
     1.6913e+000              5.0137347853782e-011
     1.7114e+000              5.2646823335747e-011
     1.7315e+000              5.8671634689714e-011
     1.7517e+000              6.1354333358563e-011
     1.7718e+000              6.2261956103036e-011
     1.7919e+000              7.0791300811298e-011
     1.8121e+000              7.9460280968940e-011
     1.8322e+000              8.5167537206821e-011
     1.8523e+000              8.6015019216571e-011
     1.8725e+000              7.8080845470768e-011
     1.8926e+000              1.2578967723254e-010
     1.9128e+000              1.4492657201957e-010
     1.9329e+000              1.5224142301343e-010
     1.9530e+000              1.5502142586601e-010
     1.9732e+000              1.4015062051414e-010
     1.9933e+000              1.1232560960201e-010
     2.0134e+000              1.2101023906295e-010
     2.0336e+000              1.1625516916002e-010
     2.0537e+000              1.2422769160571e-010
     2.0738e+000              1.2959910885101e-010
     2.0940e+000              1.2640183167319e-010
     2.1141e+000              1.4042611918312e-010
     2.1342e+000              1.4840449725941e-010
     2.1544e+000              1.4688998768537e-010
     2.1745e+000              1.5155237004883e-010
     2.1946e+000              1.8871078942161e-010
     2.2148e+000              1.7622613358422e-010
     2.2349e+000              1.8577977148302e-010
     2.2550e+000              1.5270036381982e-010
     2.2752e+000              1.6657794736350e-010
     2.2953e+000              1.8213056828020e-010
     2.3154e+000              2.2005167970161e-010
     2.3356e+000              2.9226457685853e-010
     2.3557e+000              2.5145567384352e-010
     2.3758e+000              2.3892779473174e-010
     2.3960e+000              2.3860324786375e-010
     2.4161e+000              2.4534806534663e-010
     2.4362e+000              2.4768523728584e-010
     2.4564e+000              2.4938788087123e-010
     2.4765e+000              2.7287666988721e-010
     2.4966e+000              2.7321207746075e-010
     2.5168e+000              2.7132413556138e-010
     2.5369e+000              2.8862183112355e-010
     2.5570e+000              2.9004090497282e-010
     2.5772e+000              2.9056165998991e-010
     2.5973e+000              3.0831133991844e-010
     2.6174e+000              2.9315753903229e-010
     2.6376e+000              3.2910237665830e-010
     2.6577e+000              3.8117769720187e-010
     2.6779e+000              4.1143240331569e-010
     2.6980e+000              5.1455213407337e-010
     2.7181e+000              5.0289885342331e-010
     2.7383e+000              4.8792172400574e-010
     2.7584e+000              4.6561859732314e-010
     2.7785e+000              5.0756559296551e-010
     2.7987e+000              5.1046063731185e-010
     2.8188e+000              5.1552830331491e-010
     2.8389e+000              5.5707294927418e-010
     2.8591e+000              5.8978940302813e-010
     2.8792e+000              5.5974131592632e-010
     2.8993e+000              5.0539650710252e-010
     2.9195e+000              5.2522398247671e-010
     2.9396e+000              5.9327817822642e-010
     2.9597e+000              6.3364479228862e-010
     2.9799e+000              6.4872695765599e-010
     3.0000e+000              6.4336661759339e-010
     3.0000e+000              5.6309253293485e-010
     2.9799e+000              5.8764397765894e-010
     2.9597e+000              6.0913068603764e-010
