# Single Point Spectroscopy       
# 
# Sample                          MoO3
# Data set                        23/10/2024
# Creation Comment                
# Ramp start value                0.000e+000 V
# Ramp end value                  3.000e+000 V
# Raster time                     1.000e-001 seconds
# Varied-Z spectroscopy           No
# Automatic ramp reversal         Yes
# Channel name and data unit      I(V) [A]
# Sample position                 -8.400e+001, -3.150e+001 [nm]
# 
# 
# Ramp value [V]                              I(V)
# --------------             ---------------------
     0.0000e+000              2.8416666039753e-012
     2.0134e-002              4.1398264405826e-013
     4.0268e-002              4.2145340927741e-013
     6.0403e-002              4.1091204594106e-013
     8.0537e-002              4.0664391455815e-013
     1.0067e-001              3.9569569697127e-013
     1.2081e-001              3.9821051682926e-013
     1.4094e-001              3.9338814248619e-013
     1.6107e-001              3.9963988025281e-013
     1.8121e-001              4.4794499453357e-013
     2.0134e-001              4.4978888870295e-013
     2.2148e-001              4.4691020296807e-013
     2.4161e-001              4.6180260383650e-013
     2.6174e-001              4.8210693388649e-013
     2.8188e-001              5.2394229793430e-013
     3.0201e-001              5.3409062471165e-013
     3.2215e-001              5.5412474212733e-013
     3.4228e-001              6.2956780256791e-013
     3.6242e-001              6.7416977551932e-013
     3.8255e-001              6.7099784766425e-013
     4.0268e-001              6.8458524433287e-013
     4.2282e-001              7.0542385845525e-013
     4.4295e-001              7.7275746926830e-013
     4.6309e-001              7.6690490925692e-013
     4.8322e-001              8.0933443404041e-013
     5.0336e-001              9.6452860408000e-013
     5.2349e-001              8.9150671025483e-013
     5.4362e-001              8.2609375856409e-013
     5.6376e-001              9.4834348140423e-013
     5.8389e-001              1.0841560361280e-012
     6.0403e-001              1.1782253447476e-012
     6.2416e-001              1.2122828837645e-012
     6.4430e-001              1.4362814811153e-012
     6.6443e-001              1.4826336949935e-012
     6.8456e-001              1.6622514024573e-012
     7.0470e-001              1.7314811076077e-012
     7.2483e-001              1.6930295426851e-012
     7.4497e-001              1.8696749111714e-012
     7.6510e-001              2.1626683129167e-012
     7.8523e-001              2.2335285056673e-012
     8.0537e-001              2.1143171396642e-012
     8.2550e-001              2.2334670937050e-012
     8.4564e-001              2.5143700153637e-012
     8.6577e-001              2.6986719202553e-012
     8.8591e-001              2.7333819613722e-012
     9.0604e-001              2.5301513543871e-012
     9.2617e-001              2.8653163506740e-012
     9.4631e-001              2.7353041557936e-012
     9.6644e-001              3.2528273683638e-012
     9.8658e-001              3.1439900180996e-012
     1.0067e+000              3.2158067021638e-012
     1.0268e+000              3.6439294505518e-012
     1.0470e+000              3.9540153367164e-012
     1.0671e+000              4.5678294356440e-012
     1.0872e+000              4.6648066006805e-012
     1.1074e+000              4.9721013131566e-012
     1.1275e+000              4.5905426499170e-012
     1.1477e+000              5.1279049969225e-012
     1.1678e+000              5.0361202133022e-012
     1.1879e+000              5.4502394989766e-012
     1.2081e+000              5.8903498624142e-012
     1.2282e+000              6.7554002992912e-012
     1.2483e+000              6.2258034949241e-012
     1.2685e+000              6.8762897471654e-012
     1.2886e+000              7.9549125654863e-012
     1.3087e+000              8.0565033041939e-012
     1.3289e+000              8.0738015186871e-012
     1.3490e+000              8.5320575816983e-012
     1.3691e+000              8.3531353647080e-012
     1.3893e+000              9.7381271101726e-012
     1.4094e+000              7.8258430442278e-012
     1.4295e+000              8.2713576603516e-012
     1.4497e+000              8.7295507761014e-012
     1.4698e+000              9.0662387890544e-012
     1.4899e+000              9.7401982286027e-012
     1.5101e+000              1.0682620061538e-011
     1.5302e+000              1.2230834055819e-011
     1.5503e+000              1.0407376252209e-011
     1.5705e+000              1.0806093417728e-011
     1.5906e+000              1.1593187509605e-011
     1.6107e+000              1.1752147768236e-011
     1.6309e+000              1.6219909481838e-011
     1.6510e+000              2.1427109604539e-011
     1.6711e+000              2.2889514199137e-011
     1.6913e+000              2.4767825167513e-011
     1.7114e+000              2.6237923145693e-011
     1.7315e+000              2.5396903209681e-011
     1.7517e+000              3.0956443719237e-011
     1.7718e+000              3.5678530792495e-011
     1.7919e+000              3.9173546981456e-011
     1.8121e+000              4.3749944921146e-011
     1.8322e+000              4.5595626178630e-011
     1.8523e+000              4.8548635740933e-011
     1.8725e+000              4.8678061451573e-011
     1.8926e+000              5.3974996733651e-011
     1.9128e+000              4.4151959909043e-011
     1.9329e+000              3.9380574383013e-011
     1.9530e+000              4.4792574188337e-011
     1.9732e+000              4.3760569190632e-011
     1.9933e+000              4.7171194596239e-011
     2.0134e+000              5.0118879741407e-011
     2.0336e+000              5.3729703538358e-011
     2.0537e+000              5.3027912197475e-011
     2.0738e+000              5.8972617787760e-011
     2.0940e+000              6.4590914192289e-011
     2.1141e+000              6.4622538282298e-011
     2.1342e+000              6.5916878294848e-011
     2.1544e+000              6.7939238697397e-011
     2.1745e+000              7.1173313923059e-011
     2.1946e+000              8.3825039468701e-011
     2.2148e+000              8.5128669575854e-011
     2.2349e+000              7.9270074303869e-011
     2.2550e+000              8.4579216748762e-011
     2.2752e+000              8.3086103102394e-011
     2.2953e+000              8.4289105103349e-011
