# Single Point Spectroscopy       
# 
# Sample                          MoO3
# Data set                        23/10/2024
# Creation Comment                
# Ramp start value                0.000e+000 V
# Ramp end value                  3.000e+000 V
# Raster time                     1.000e-001 seconds
# Varied-Z spectroscopy           No
# Automatic ramp reversal         Yes
# Channel name and data unit      I(V) [A]
# Sample position                 -8.400e+001, -3.150e+001 [nm]
# 
# 
# Ramp value [V]                              I(V)
# --------------             ---------------------
     0.0000e+000              2.3217437189764e-012
     2.0134e-002              4.2108800810147e-013
     4.0268e-002              4.1961105040709e-013
     6.0403e-002              4.2056140052437e-013
     8.0537e-002              4.1451385753254e-013
     1.0067e-001              4.6094744226086e-013
     1.2081e-001              4.6996578893108e-013
     1.4094e-001              4.7716787681497e-013
     1.6107e-001              4.9126038687387e-013
     1.8121e-001              5.0672852488927e-013
     2.0134e-001              5.2935883301304e-013
     2.2148e-001              5.7077352511880e-013
     2.4161e-001              6.2277103363549e-013
     2.6174e-001              6.4612139701774e-013
     2.8188e-001              6.6769081349202e-013
     3.0201e-001              7.1977583405505e-013
     3.2215e-001              8.4616165255906e-013
     3.4228e-001              9.2969727433752e-013
     3.6242e-001              7.9897730659108e-013
     3.8255e-001              8.7885891661008e-013
     4.0268e-001              9.2522187758170e-013
     4.2282e-001              1.0167594780536e-012
     4.4295e-001              1.0973749610226e-012
     4.6309e-001              1.1523478791149e-012
     4.8322e-001              1.3721781395215e-012
     5.0336e-001              1.5413727016765e-012
     5.2349e-001              1.6091715081043e-012
     5.4362e-001              1.7825988897638e-012
     5.6376e-001              1.9240398508365e-012
     5.8389e-001              2.2804503154963e-012
     6.0403e-001              2.4376173448262e-012
     6.2416e-001              2.6348004088194e-012
     6.4430e-001              2.7479396670458e-012
     6.6443e-001              2.6927978660571e-012
     6.8456e-001              2.6583948847520e-012
     7.0470e-001              2.6841034674883e-012
     7.2483e-001              2.8552662830364e-012
     7.4497e-001              3.5216920101041e-012
     7.6510e-001              3.4917767079473e-012
     7.8523e-001              3.8510351523608e-012
     8.0537e-001              3.6094297454060e-012
     8.2550e-001              3.6821200146345e-012
     8.4564e-001              3.8650723916536e-012
     8.6577e-001              3.7733244552106e-012
     8.8591e-001              3.9997841369524e-012
     9.0604e-001              3.9835130375293e-012
     9.2617e-001              4.1863321843667e-012
     9.4631e-001              4.6781590965932e-012
     9.6644e-001              4.8498884374939e-012
     9.8658e-001              4.7934155322214e-012
     1.0067e+000              5.4311296315942e-012
     1.0268e+000              5.2170690250498e-012
     1.0470e+000              6.0623002863793e-012
     1.0671e+000              7.9267674631440e-012
     1.0872e+000              7.7878290395369e-012
     1.1074e+000              6.4355192051327e-012
     1.1275e+000              6.7420247738927e-012
     1.1477e+000              6.5601348238221e-012
     1.1678e+000              7.0485027072696e-012
     1.1879e+000              7.9366210125021e-012
     1.2081e+000              8.3084167090281e-012
     1.2282e+000              9.4892566680725e-012
     1.2483e+000              1.0449073439342e-011
     1.2685e+000              1.1553535340819e-011
     1.2886e+000              1.2029132606697e-011
     1.3087e+000              1.2260870646602e-011
     1.3289e+000              1.4099059644680e-011
