# Single Point Spectroscopy       
# 
# Sample                          MoO3
# Data set                        23/10/2024
# Creation Comment                
# Ramp start value                0.000e+000 V
# Ramp end value                  3.000e+000 V
# Raster time                     1.000e-001 seconds
# Varied-Z spectroscopy           No
# Automatic ramp reversal         Yes
# Channel name and data unit      I(V) [A]
# Sample position                 -8.400e+001, -3.150e+001 [nm]
# Averaged curves                 22
# 
# 
# Ramp value [V]                              I(V)
# --------------             ---------------------
     0.0000e+000              2.1398890807842e-012
     2.0134e-002              3.9512763631959e-013
     4.0268e-002              3.7810731095594e-013
     6.0403e-002              4.0089882548087e-013
     8.0537e-002              3.7990975205074e-013
     1.0067e-001              3.9001816105256e-013
     1.2081e-001              3.9962145666411e-013
     1.4094e-001              4.3989235097121e-013
     1.6107e-001              4.5264147435383e-013
     1.8121e-001              4.6500370237368e-013
     2.0134e-001              4.7654147479906e-013
     2.2148e-001              4.5532210651014e-013
     2.4161e-001              4.9792358478820e-013
     2.6174e-001              5.3828813233787e-013
     2.8188e-001              5.8331384782945e-013
     3.0201e-001              5.8130107076362e-013
     3.2215e-001              6.3955799354223e-013
     3.4228e-001              6.3306981972058e-013
     3.6242e-001              7.3159149561004e-013
     3.8255e-001              7.5649404634055e-013
     4.0268e-001              7.9749574299954e-013
     4.2282e-001              8.3072422052483e-013
     4.4295e-001              8.8575701528037e-013
     4.6309e-001              1.0153531441159e-012
     4.8322e-001              1.1311761050967e-012
     5.0336e-001              1.1136660193334e-012
     5.2349e-001              1.1640975228103e-012
     5.4362e-001              1.2761052656305e-012
     5.6376e-001              1.4496017357477e-012
     5.8389e-001              1.6577161290382e-012
     6.0403e-001              1.7229832273184e-012
     6.2416e-001              1.7168466369811e-012
     6.4430e-001              1.8494611637659e-012
     6.6443e-001              2.0147100073403e-012
     6.8456e-001              2.1292694171959e-012
     7.0470e-001              2.1881343184017e-012
     7.2483e-001              2.3107617248102e-012
     7.4497e-001              2.6819141310307e-012
     7.6510e-001              3.5465469665638e-012
     7.8523e-001              4.4286376876922e-012
     8.0537e-001              4.1466677331877e-012
     8.2550e-001              5.6460883880880e-012
     8.4564e-001              6.1108126660330e-012
     8.6577e-001              5.4509227070577e-012
     8.8591e-001              6.9362001870301e-012
     9.0604e-001              7.1409829813635e-012
     9.2617e-001              8.0943407494931e-012
     9.4631e-001              8.2500477094182e-012
     9.6644e-001              8.5977161812384e-012
     9.8658e-001              9.1137240536378e-012
     1.0067e+000              9.5104530068755e-012
     1.0268e+000              1.0276759149500e-011
     1.0470e+000              9.9513325551414e-012
     1.0671e+000              7.2660438367799e-012
     1.0872e+000              8.6460458603041e-012
     1.1074e+000              9.1430068125825e-012
     1.1275e+000              1.0105505751307e-011
     1.1477e+000              1.0146865172647e-011
     1.1678e+000              1.0644186920204e-011
     1.1879e+000              1.1924538823031e-011
     1.2081e+000              1.2182510517950e-011
     1.2282e+000              1.2947195384768e-011
     1.2483e+000              1.3512125561670e-011
     1.2685e+000              1.5241466462390e-011
     1.2886e+000              1.5382540486988e-011
     1.3087e+000              1.6648221072010e-011
     1.3289e+000              1.7793875047230e-011
     1.3490e+000              1.7385069431597e-011
     1.3691e+000              1.7353036952038e-011
     1.3893e+000              1.6468492823014e-011
     1.4094e+000              1.7286392690503e-011
     1.4295e+000              2.0258162072003e-011
     1.4497e+000              2.2816725670768e-011
     1.4698e+000              2.5977060482646e-011
     1.4899e+000              2.7860008054179e-011
     1.5101e+000              2.4878263834695e-011
     1.5302e+000              2.5655352382608e-011
     1.5503e+000              2.8419188536106e-011
     1.5705e+000              2.9513803029421e-011
     1.5906e+000              3.5926321919357e-011
     1.6107e+000              4.4365621337832e-011
     1.6309e+000              4.3667754221343e-011
     1.6510e+000              4.9154724214998e-011
     1.6711e+000              5.1124743202041e-011
     1.6913e+000              5.4954620398075e-011
     1.7114e+000              5.9268683322921e-011
     1.7315e+000              5.9566009338610e-011
     1.7517e+000              6.0522683352706e-011
     1.7718e+000              6.1272277765077e-011
     1.7919e+000              6.1954279101095e-011
     1.8121e+000              6.3396864520145e-011
     1.8322e+000              6.8708454231737e-011
     1.8523e+000              7.7067222608691e-011
     1.8725e+000              5.7614573611372e-011
     1.8926e+000              5.4080310572576e-011
     1.9128e+000              5.7027704010923e-011
     1.9329e+000              5.7063193983961e-011
     1.9530e+000              6.1767933713156e-011
     1.9732e+000              6.1424614743569e-011
     1.9933e+000              6.7034918381199e-011
     2.0134e+000              6.5766469651974e-011
     2.0336e+000              6.8440957541458e-011
     2.0537e+000              7.2571698082212e-011
     2.0738e+000              7.1810791586377e-011
     2.0940e+000              7.7250303950831e-011
     2.1141e+000              8.7600516413191e-011
     2.1342e+000              9.3562561671044e-011
     2.1544e+000              8.7738955864604e-011
     2.1745e+000              9.3367902638703e-011
     2.1946e+000              1.0060725990725e-010
     2.2148e+000              9.7681207125814e-011
     2.2349e+000              1.0471840235552e-010
     2.2550e+000              1.0573556408192e-010
     2.2752e+000              1.2735949749048e-010
     2.2953e+000              1.6877570800700e-010
     2.3154e+000              1.7522649883187e-010
     2.3356e+000              1.7123484103283e-010
     2.3557e+000              1.7732230947668e-010
     2.3758e+000              1.9313147733077e-010
     2.3960e+000              1.9673439894347e-010
     2.4161e+000              1.9570736831471e-010
     2.4362e+000              2.0526243557693e-010
     2.4564e+000              2.0786668353449e-010
     2.4765e+000              2.1029945240488e-010
     2.4966e+000              2.2099925860408e-010
     2.5168e+000              2.2813877230425e-010
     2.5369e+000              2.4093692546231e-010
     2.5570e+000              2.3847451303768e-010
     2.5772e+000              2.5459308664046e-010
     2.5973e+000              2.7087480726239e-010
     2.6174e+000              2.7870671780850e-010
     2.6376e+000              2.6340476977500e-010
     2.6577e+000              2.1973554013126e-010
     2.6779e+000              2.3086955039842e-010
     2.6980e+000              2.6798830839061e-010
     2.7181e+000              2.7252946814631e-010
     2.7383e+000              2.7131458753653e-010
     2.7584e+000              2.7643226590643e-010
     2.7785e+000              2.9187885753484e-010
     2.7987e+000              3.5556063517779e-010
     2.8188e+000              3.7029994984178e-010
     2.8389e+000              4.0253430740894e-010
     2.8591e+000              4.3359318935196e-010
     2.8792e+000              4.4949585691873e-010
     2.8993e+000              4.2793420598708e-010
     2.9195e+000              4.3643150746869e-010
     2.9396e+000              4.3646919445468e-010
     2.9597e+000              4.5203775791681e-010
     2.9799e+000              4.2356496748467e-010
     3.0000e+000              3.8032640611516e-010
     3.0000e+000              4.1910858233709e-010
     2.9799e+000              3.8356577505197e-010
     2.9597e+000              3.5977088578619e-010
     2.9396e+000              3.4062572341373e-010
     2.9195e+000              3.3212207500581e-010
     2.8993e+000              3.2517216459818e-010
     2.8792e+000              3.3551589656322e-010
     2.8591e+000              3.2699706865351e-010
     2.8389e+000              3.2763436208094e-010
     2.8188e+000              3.2134273110358e-010
     2.7987e+000              3.0827115653617e-010
     2.7785e+000              2.8973865678835e-010
     2.7584e+000              2.8592441354263e-010
     2.7383e+000              2.8136828922701e-010
     2.7181e+000              2.6408234484383e-010
     2.6980e+000              2.6297515778652e-010
     2.6779e+000              2.5222947531615e-010
     2.6577e+000              2.4805481908113e-010
     2.6376e+000              2.8962456257411e-010
     2.6174e+000              3.0784898000104e-010
     2.5973e+000              3.0428519009075e-010
     2.5772e+000              2.8879679226897e-010
     2.5570e+000              2.7829059035166e-010
     2.5369e+000              2.6103392258623e-010
     2.5168e+000              2.6175819531123e-010
     2.4966e+000              1.9970393292954e-010
     2.4765e+000              1.7900635291397e-010
     2.4564e+000              1.7451829915271e-010
     2.4362e+000              1.6415048602195e-010
     2.4161e+000              1.5642601263336e-010
     2.3960e+000              1.5586918115899e-010
     2.3758e+000              1.5790788635532e-010
     2.3557e+000              1.5175955251560e-010
     2.3356e+000              1.7423090959253e-010
     2.3154e+000              1.3531439163237e-010
     2.2953e+000              1.2588991690808e-010
     2.2752e+000              1.2510869533510e-010
     2.2550e+000              1.1924379151928e-010
     2.2349e+000              1.1502976407520e-010
     2.2148e+000              1.0916189252630e-010
     2.1946e+000              1.0212559391125e-010
     2.1745e+000              1.0309001657969e-010
     2.1544e+000              1.0335435669511e-010
     2.1342e+000              9.8335072571284e-011
     2.1141e+000              9.7580975126773e-011
     2.0940e+000              9.1040314036211e-011
     2.0738e+000              8.9011225953187e-011
     2.0537e+000              8.6416484567404e-011
     2.0336e+000              8.5869153523611e-011
     2.0134e+000              8.1271602233492e-011
     1.9933e+000              7.3530808615914e-011
     1.9732e+000              7.0960504585247e-011
     1.9530e+000              6.6802507880306e-011
     1.9329e+000              6.6507642949009e-011
     1.9128e+000              5.9737416266708e-011
     1.8926e+000              6.1566881695535e-011
     1.8725e+000              5.6478777791408e-011
     1.8523e+000              5.2608285794077e-011
     1.8322e+000              5.0552122712155e-011
     1.8121e+000              4.9453978566304e-011
     1.7919e+000              4.9898811509646e-011
     1.7718e+000              4.5236289433964e-011
     1.7517e+000              4.2031641285359e-011
     1.7315e+000              4.1332260363998e-011
     1.7114e+000              3.8824725500043e-011
     1.6913e+000              3.7821386071061e-011
     1.6711e+000              3.7260502942477e-011
     1.6510e+000              3.5989734376375e-011
     1.6309e+000              3.3926330824092e-011
     1.6107e+000              3.1809535711747e-011
     1.5906e+000              3.2839911757151e-011
     1.5705e+000              3.0752316497602e-011
     1.5503e+000              2.7636760218068e-011
     1.5302e+000              2.9425107267507e-011
     1.5101e+000              3.6639955021879e-011
     1.4899e+000              3.7630465491927e-011
     1.4698e+000              3.7322926666901e-011
     1.4497e+000              2.4577696802694e-011
     1.4295e+000              2.5474137964123e-011
     1.4094e+000              2.3975299187566e-011
     1.3893e+000              2.1859035288695e-011
     1.3691e+000              1.9661204021440e-011
     1.3490e+000              1.9137504300756e-011
     1.3289e+000              1.8725241191644e-011
     1.3087e+000              1.7507240854185e-011
     1.2886e+000              1.7055916666424e-011
     1.2685e+000              1.6212306680900e-011
     1.2483e+000              1.5511539384489e-011
     1.2282e+000              1.5575194418758e-011
     1.2081e+000              1.6206632215579e-011
     1.1879e+000              1.4554090044369e-011
     1.1678e+000              1.3509197746365e-011
     1.1477e+000              1.2854828722805e-011
     1.1275e+000              1.1585429643462e-011
     1.1074e+000              1.0706345037890e-011
     1.0872e+000              9.6037700189563e-012
     1.0671e+000              8.4803548506008e-012
     1.0470e+000              1.2517389948612e-011
     1.0268e+000              1.4019776801293e-011
     1.0067e+000              1.3103642358840e-011
     9.8658e-001              1.1588991537278e-011
     9.6644e-001              9.8449271185860e-012
     9.4631e-001              9.6182617067705e-012
     9.2617e-001              9.3090647587608e-012
     9.0604e-001              9.5007314932365e-012
     8.8591e-001              8.7206383650662e-012
     8.6577e-001              8.5253698189990e-012
     8.4564e-001              7.2408280850414e-012
     8.2550e-001              7.3258882587851e-012
     8.0537e-001              6.6914888700798e-012
     7.8523e-001              5.2578281444575e-012
     7.6510e-001              5.0737227578454e-012
     7.4497e-001              6.7380514199290e-012
     7.2483e-001              5.6609147710969e-012
     7.0470e-001              5.4429944227191e-012
     6.8456e-001              5.2254625050032e-012
     6.6443e-001              4.7460638386560e-012
     6.4430e-001              3.5686199611293e-012
     6.2416e-001              2.2028563010746e-012
     6.0403e-001              2.1098540253008e-012
     5.8389e-001              1.8284337078593e-012
     5.6376e-001              1.8634984030587e-012
     5.4362e-001              1.8042112946118e-012
     5.2349e-001              1.6247286934651e-012
     5.0336e-001              1.4640274057023e-012
     4.8322e-001              1.4970179118735e-012
     4.6309e-001              1.4280952665348e-012
     4.4295e-001              1.3532970316989e-012
     4.2282e-001              1.2428737175071e-012
     4.0268e-001              1.1188108064788e-012
     3.8255e-001              1.0100855330459e-012
     3.6242e-001              9.6425071495039e-013
     3.4228e-001              8.8815822300802e-013
     3.2215e-001              8.5481613335239e-013
     3.0201e-001              7.5364913718496e-013
     2.8188e-001              7.0996373777153e-013
     2.6174e-001              6.8833444463397e-013
     2.4161e-001              6.6422564351676e-013
     2.2148e-001              6.5595498748808e-013
     2.0134e-001              5.8706918932679e-013
     1.8121e-001              5.6639792280179e-013
     1.6107e-001              5.4785458077201e-013
     1.4094e-001              5.2102215912484e-013
     1.2081e-001              5.2244998724934e-013
     1.0067e-001              4.8730852709703e-013
     8.0537e-002              4.8906030332289e-013
     6.0403e-002              4.6459377752503e-013
     4.0268e-002              4.2071493043023e-013
     2.0134e-002              4.2171441011738e-013
     1.1102e-016              3.9645259940716e-013
