# Single Point Spectroscopy       
# 
# Sample                          MoO3
# Data set                        23/10/2024
# Creation Comment                
# Ramp start value                0.000e+000 V
# Ramp end value                  3.000e+000 V
# Raster time                     1.000e-001 seconds
# Varied-Z spectroscopy           No
# Automatic ramp reversal         Yes
# Channel name and data unit      I(V) [A]
# Sample position                 -8.400e+001, -3.150e+001 [nm]
# Averaged curves                 13
# 
# 
# Ramp value [V]                              I(V)
# --------------             ---------------------
     0.0000e+000              1.9780915894936e-012
     2.0134e-002              3.8014311750764e-013
     4.0268e-002              3.7600855714283e-013
     6.0403e-002              4.0865362102586e-013
     8.0537e-002              4.1013518461741e-013
     1.0067e-001              4.6933785161611e-013
     1.2081e-001              4.9326702274346e-013
     1.4094e-001              5.1587737197947e-013
     1.6107e-001              5.3210701832794e-013
     1.8121e-001              5.7914858148346e-013
     2.0134e-001              6.3379141027812e-013
     2.2148e-001              6.3835431908028e-013
     2.4161e-001              7.1675743610584e-013
     2.6174e-001              7.7540739544345e-013
     2.8188e-001              8.1722126530444e-013
     3.0201e-001              8.7889269318937e-013
     3.2215e-001              8.9165563426351e-013
     3.4228e-001              1.0335019142876e-012
     3.6242e-001              1.0505360573428e-012
     3.8255e-001              1.1789407941089e-012
     4.0268e-001              1.1595852788771e-012
     4.2282e-001              1.3229902282821e-012
     4.4295e-001              1.4232176214257e-012
     4.6309e-001              1.3084831874774e-012
     4.8322e-001              1.4479942776333e-012
     5.0336e-001              1.4494850530192e-012
     5.2349e-001              1.5594600598859e-012
     5.4362e-001              1.8500722127912e-012
     5.6376e-001              1.9068214718943e-012
     5.8389e-001              2.0432527521387e-012
     6.0403e-001              2.1373650491319e-012
     6.2416e-001              2.0657018949736e-012
     6.4430e-001              2.2100691360519e-012
     6.6443e-001              2.3703113693962e-012
     6.8456e-001              2.6878726266771e-012
     7.0470e-001              3.0311025489189e-012
     7.2483e-001              2.9953653927318e-012
     7.4497e-001              3.0295181202904e-012
     7.6510e-001              3.3380610309011e-012
     7.8523e-001              3.4997280217718e-012
     8.0537e-001              3.5047238849085e-012
     8.2550e-001              3.8344692755185e-012
     8.4564e-001              4.0351666390569e-012
     8.6577e-001              4.5227208140033e-012
     8.8591e-001              4.7930271015596e-012
     9.0604e-001              4.9403758934097e-012
     9.2617e-001              5.1168139965232e-012
     9.4631e-001              5.4869914878414e-012
     9.6644e-001              5.9842272586514e-012
     9.8658e-001              6.7274824212096e-012
     1.0067e+000              6.6253312983456e-012
     1.0268e+000              6.8016726776184e-012
     1.0470e+000              9.0048744209812e-012
     1.0671e+000              1.0891987258860e-011
     1.0872e+000              1.1357347150615e-011
     1.1074e+000              1.2994996920958e-011
     1.1275e+000              1.3841746593056e-011
     1.1477e+000              1.4748107321703e-011
     1.1678e+000              1.5541072397181e-011
     1.1879e+000              1.5938899089245e-011
     1.2081e+000              1.9624697680424e-011
     1.2282e+000              1.9568760594523e-011
     1.2483e+000              1.9481655402433e-011
     1.2685e+000              1.8207894538465e-011
     1.2886e+000              1.8579286451339e-011
     1.3087e+000              1.9819605431213e-011
     1.3289e+000              2.2870775874126e-011
     1.3490e+000              2.2759977946964e-011
     1.3691e+000              2.3479934946308e-011
     1.3893e+000              2.6167486695482e-011
     1.4094e+000              2.5650227554350e-011
     1.4295e+000              2.5986025093849e-011
     1.4497e+000              2.0435398530627e-011
     1.4698e+000              2.8019137195706e-011
     1.4899e+000              2.1013839339244e-011
     1.5101e+000              2.2075391167332e-011
     1.5302e+000              2.3410660717485e-011
     1.5503e+000              2.3573694124518e-011
     1.5705e+000              2.3536311127740e-011
     1.5906e+000              2.5438416160926e-011
     1.6107e+000              2.7621353492015e-011
     1.6309e+000              2.6021713120466e-011
     1.6510e+000              2.8160556662591e-011
     1.6711e+000              2.9000125740993e-011
     1.6913e+000              3.3613160522118e-011
     1.7114e+000              3.4744834064110e-011
     1.7315e+000              3.4773591750777e-011
     1.7517e+000              4.8143415048602e-011
     1.7718e+000              6.2066979263790e-011
     1.7919e+000              5.9216512325611e-011
     1.8121e+000              6.3423038298496e-011
     1.8322e+000              5.7211264366369e-011
     1.8523e+000              4.9118770581643e-011
     1.8725e+000              5.2320194602226e-011
     1.8926e+000              4.9583831090082e-011
     1.9128e+000              5.5019750854739e-011
     1.9329e+000              5.8576043899727e-011
     1.9530e+000              6.1942618504745e-011
     1.9732e+000              6.2282601269477e-011
     1.9933e+000              6.1263330042164e-011
     2.0134e+000              6.5261399250068e-011
     2.0336e+000              6.8972049727108e-011
     2.0537e+000              6.7457672188779e-011
     2.0738e+000              7.2688713970561e-011
     2.0940e+000              7.8062068763281e-011
     2.1141e+000              8.4614998428621e-011
     2.1342e+000              8.7954703764814e-011
     2.1544e+000              8.6749960734727e-011
     2.1745e+000              9.0305174464476e-011
     2.1946e+000              9.9723656916545e-011
     2.2148e+000              1.1335921591663e-010
     2.2349e+000              1.4826769443680e-010
     2.2550e+000              1.5415263390533e-010
     2.2752e+000              1.1825270991799e-010
     2.2953e+000              1.1927091411245e-010
     2.3154e+000              1.1810204641547e-010
     2.3356e+000              1.2424430507682e-010
     2.3557e+000              1.3755933355124e-010
     2.3758e+000              1.4321107798106e-010
     2.3960e+000              1.3765860291777e-010
     2.4161e+000              1.3816663951746e-010
     2.4362e+000              1.4384043544766e-010
     2.4564e+000              1.6834979148336e-010
     2.4765e+000              2.0672441335839e-010
     2.4966e+000              1.6859812303549e-010
     2.5168e+000              1.6908303189016e-010
     2.5369e+000              1.7786898955367e-010
     2.5570e+000              1.7037900239031e-010
     2.5772e+000              1.7906158529761e-010
     2.5973e+000              2.1240381313015e-010
     2.6174e+000              1.9859553759187e-010
     2.6376e+000              2.0653762733962e-010
     2.6577e+000              2.1386655702584e-010
     2.6779e+000              2.3327328676362e-010
     2.6980e+000              2.3366896096640e-010
     2.7181e+000              2.4399192187047e-010
     2.7383e+000              2.5042279372536e-010
     2.7584e+000              2.5019062887231e-010
     2.7785e+000              2.4077931166095e-010
     2.7987e+000              2.5931575252146e-010
     2.8188e+000              2.6451942145633e-010
     2.8389e+000              2.6856002612465e-010
     2.8591e+000              2.8101195245670e-010
     2.8792e+000              2.7449087103503e-010
     2.8993e+000              2.9350858823264e-010
     2.9195e+000              2.9828084120264e-010
     2.9396e+000              2.9586054970769e-010
     2.9597e+000              3.2593698150072e-010
     2.9799e+000              3.5198106546377e-010
     3.0000e+000              3.4835428223310e-010
     3.0000e+000              3.5163949827041e-010
     2.9799e+000              3.4413725788526e-010
     2.9597e+000              3.2772436284705e-010
     2.9396e+000              3.2438479875837e-010
     2.9195e+000              3.3209043709811e-010
     2.8993e+000              3.1687833015961e-010
     2.8792e+000              3.0467793340763e-010
     2.8591e+000              3.0393207898377e-010
     2.8389e+000              2.8044036368778e-010
     2.8188e+000              2.7617667085445e-010
     2.7987e+000              2.8314372287606e-010
     2.7785e+000              2.8865232676875e-010
     2.7584e+000              2.7594161196268e-010
     2.7383e+000              2.8298021506162e-010
     2.7181e+000              2.7025124247915e-010
     2.6980e+000              2.4777916227635e-010
     2.6779e+000              2.2088933733269e-010
     2.6577e+000              2.2385532938383e-010
     2.6376e+000              2.1329931161796e-010
     2.6174e+000              2.1367819425494e-010
     2.5973e+000              2.1768445581862e-010
     2.5772e+000              2.2819236498849e-010
     2.5570e+000              2.5813514439257e-010
     2.5369e+000              2.4555054672767e-010
     2.5168e+000              2.3625424030409e-010
     2.4966e+000              2.3579455027176e-010
     2.4765e+000              2.0857963803482e-010
     2.4564e+000              1.9422430627128e-010
     2.4362e+000              1.7033840908320e-010
     2.4161e+000              1.6365107780297e-010
     2.3960e+000              1.6073223632121e-010
     2.3758e+000              1.4829040765107e-010
     2.3557e+000              1.4662782462402e-010
     2.3356e+000              1.3826402967794e-010
     2.3154e+000              1.3855951026417e-010
     2.2953e+000              1.2159736812894e-010
     2.2752e+000              1.1393325348755e-010
     2.2550e+000              1.0464049053419e-010
     2.2349e+000              1.0465100886804e-010
     2.2148e+000              1.0211910573743e-010
     2.1946e+000              1.0014761132799e-010
     2.1745e+000              9.7754572926629e-011
     2.1544e+000              9.8255215526050e-011
     2.1342e+000              1.0164750485500e-010
     2.1141e+000              9.8888768964974e-011
     2.0940e+000              9.2314085647272e-011
     2.0738e+000              8.5757819777078e-011
     2.0537e+000              8.7925447105954e-011
     2.0336e+000              8.1770244338239e-011
     2.0134e+000              8.0832465249657e-011
     1.9933e+000              7.2252375836911e-011
     1.9732e+000              7.6249459382819e-011
     1.9530e+000              7.5634836181288e-011
     1.9329e+000              6.8642566872637e-011
     1.9128e+000              7.1966355763490e-011
     1.8926e+000              6.8613823003662e-011
     1.8725e+000              6.6049112067466e-011
     1.8523e+000              6.2202371146572e-011
     1.8322e+000              6.2525396533203e-011
     1.8121e+000              6.2726724904654e-011
     1.7919e+000              5.5758062354329e-011
     1.7718e+000              5.2421842146999e-011
     1.7517e+000              5.8922921692532e-011
     1.7315e+000              5.7450115446813e-011
     1.7114e+000              5.1350570340571e-011
     1.6913e+000              4.8537308304479e-011
     1.6711e+000              7.0105511892503e-011
     1.6510e+000              8.3705720631763e-011
     1.6309e+000              7.3977993637414e-011
     1.6107e+000              7.6243531593154e-011
     1.5906e+000              6.6386926989928e-011
     1.5705e+000              7.0526048728243e-011
     1.5503e+000              7.4780881350707e-011
     1.5302e+000              6.7533248820238e-011
     1.5101e+000              6.4577885644478e-011
     1.4899e+000              6.5956292492280e-011
     1.4698e+000              6.5435847605601e-011
     1.4497e+000              6.1857879208504e-011
     1.4295e+000              6.2876597728157e-011
     1.4094e+000              4.9098793270293e-011
     1.3893e+000              3.9658469653816e-011
     1.3691e+000              4.6847621107844e-011
     1.3490e+000              5.1227648156743e-011
     1.3289e+000              4.7970018372924e-011
     1.3087e+000              4.1467868723947e-011
     1.2886e+000              3.5658521239865e-011
     1.2685e+000              3.8958846155204e-011
     1.2483e+000              3.4951288799118e-011
     1.2282e+000              3.1994026458423e-011
     1.2081e+000              3.4953358382249e-011
     1.1879e+000              3.2819604356503e-011
     1.1678e+000              2.8961250433530e-011
     1.1477e+000              2.5770261840649e-011
     1.1275e+000              2.4127312217956e-011
     1.1074e+000              2.5148894070353e-011
     1.0872e+000              2.0095005841045e-011
     1.0671e+000              2.1228297588245e-011
     1.0470e+000              2.1619086469425e-011
     1.0268e+000              2.0566695770819e-011
     1.0067e+000              2.1102071440843e-011
     9.8658e-001              1.8617533821487e-011
     9.6644e-001              2.3043345023612e-011
     9.4631e-001              1.9606888211344e-011
     9.2617e-001              1.9129239785924e-011
     9.0604e-001              1.4619502996059e-011
     8.8591e-001              1.4977892461206e-011
     8.6577e-001              1.5199365491605e-011
     8.4564e-001              1.4457320144705e-011
     8.2550e-001              1.2431040123659e-011
     8.0537e-001              9.1047962896121e-012
     7.8523e-001              6.4424602921766e-012
     7.6510e-001              5.3985858974491e-012
     7.4497e-001              5.8612927924311e-012
     7.2483e-001              5.7603207792441e-012
     7.0470e-001              5.3072494211539e-012
     6.8456e-001              5.2579217977001e-012
     6.6443e-001              5.1221199900697e-012
     6.4430e-001              4.6517258527013e-012
     6.2416e-001              7.6081284259239e-012
     6.0403e-001              6.5216448764230e-012
     5.8389e-001              6.4858033199000e-012
     5.6376e-001              6.2696132535612e-012
     5.4362e-001              5.4430143816069e-012
     5.2349e-001              4.6107333678366e-012
     5.0336e-001              4.1501574679479e-012
     4.8322e-001              3.7710844538841e-012
     4.6309e-001              3.0738145687291e-012
     4.4295e-001              3.1638552526189e-012
     4.2282e-001              2.6870712005686e-012
     4.0268e-001              2.8152993779429e-012
     3.8255e-001              2.5400049037452e-012
     3.6242e-001              2.0467041044224e-012
     3.4228e-001              2.1660536473409e-012
     3.2215e-001              2.0532705784961e-012
     3.0201e-001              1.7210364681121e-012
     2.8188e-001              1.7930020761849e-012
     2.6174e-001              1.6723244995808e-012
     2.4161e-001              1.4238578411331e-012
     2.2148e-001              1.2971603569202e-012
     2.0134e-001              1.1189674069828e-012
     1.8121e-001              1.0490744526390e-012
     1.6107e-001              9.1241287753580e-013
     1.4094e-001              8.0188669830713e-013
     1.2081e-001              7.0143054560383e-013
     1.0067e-001              6.3903445656324e-013
     8.0537e-002              5.3272727914761e-013
     6.0403e-002              5.3354712884491e-013
     4.0268e-002              5.2985012871180e-013
     2.0134e-002              4.7023446626633e-013
     1.1102e-016              3.8700743959865e-013
